month,regime_index,regime_trend,regime_se,macro_pc1_raw
2014-10-01,-1.3024365904447388,0.303861697776987,0.24624277076628012,-1.3237886687337277
2014-11-01,-0.930806364920027,0.2946874490514594,0.21973877903498779,-1.0170812502109277
2014-12-01,-0.30782339161402084,0.22184793738875286,0.21962819698440367,-0.21277909712584003
2015-01-01,-0.0946277406301961,0.101510875801953,0.21948292785275728,0.0881609033705657
2015-02-01,-0.5758831060852314,0.06390545872618439,0.2193621923144192,-0.74263985017153
2015-03-01,-0.510795508202745,0.09260012896361364,0.21931067733654921,-0.4969596353202064
2015-04-01,-0.4588500426841736,0.131372440866903,0.21929218373179354,-0.42091780341950485
2015-05-01,-0.47975893596991126,0.20501091842602695,0.21928592149490803,-0.5624471145410059
2015-06-01,-0.14858586390381923,0.28534618602196266,0.21928384583500593,-0.08149099572254916
2015-07-01,0.043469888114541916,0.3755163545409631,0.2192831633470902,-0.2566661541432717
2015-08-01,1.2754360259959394,0.3464589646498488,0.21928293962462925,1.5345323001932434
2015-09-01,1.5723955248180237,0.21757678698750604,0.21928286637261468,1.7020462023461413
2015-10-01,1.3360939881721476,0.15405600222536678,0.2192828423988104,1.196043342645259
2015-11-01,1.5211026767490294,0.13303105318901484,0.2192828345540302,1.456558176797976
2015-12-01,1.8815588837360784,0.06806380444297552,0.21928283198720366,1.9193114746611393
2016-01-01,2.030406995700368,-0.04592460663909731,0.2192828311473542,2.036749072959468
2016-02-01,2.0307921770375694,-0.19132709842958817,0.21928283087256323,2.2080201798340386
2016-03-01,1.3215019262335608,-0.2744737475083718,0.21928283078265448,1.20637449634396
2016-04-01,0.9426294980172171,-0.28732278246930415,0.21928283075323737,0.9471835618412288
2016-05-01,0.5480018796025007,-0.27126339262259913,0.2192828307436125,0.4782028864928082
2016-06-01,0.39982285754276975,-0.2605074664609017,0.21928283074046315,0.48008427870455933
2016-07-01,-0.0010746398972920762,-0.24024068633707443,0.2192828307394328,-0.028034885691518956
2016-08-01,-0.28075883821932374,-0.19385635208981028,0.2192828307390957,-0.3123126108013375
2016-09-01,-0.40904765994506204,-0.14784414249467578,0.21928283073898547,-0.5317604266532114
2016-10-01,-0.11439393458798579,-0.17737957134759327,0.2192828307389493,0.0709815053505819
2016-11-01,-0.47847184051950686,-0.23362225510750273,0.21928283073893756,-0.48005164673914924
2016-12-01,-0.8753148493346774,-0.2469658740223821,0.21928283073893373,-0.8408887404201316
2017-01-01,-1.3747609556452998,-0.20028338739946275,0.21928283073893245,-1.4332209505325297
2017-02-01,-1.6144216218190808,-0.11060015381298136,0.21928283073893198,-1.706029372117523
2017-03-01,-1.4702682256769892,-0.047295705733649857,0.21928283073893184,-1.4238310312438536
2017-04-01,-1.4334067864803248,-0.021257607579362077,0.21928283073893182,-1.4244106195283068
2017-05-01,-1.4068567987192793,-0.010213018061993923,0.2192828307389318,-1.3986922672918007
2017-06-01,-1.399604288442691,-0.006540308280431576,0.2192828307389318,-1.4016319702800566
2017-07-01,-1.384176960975109,-0.0081820849703833,0.21928283073893168,-1.3809495176836646
2017-08-01,-1.383026149065081,-0.014246697145570725,0.21928283073893184,-1.3349463641784087
2017-09-01,-1.5390369219899258,0.0012497994284705466,0.21928283073893184,-1.5668617941095384
2017-10-01,-1.5759860929221012,0.042243824766223945,0.21928283073893184,-1.5953943274179352
2017-11-01,-1.5051589554153273,0.08817139859675524,0.21928283073893184,-1.4978538473605456
2017-12-01,-1.412190810090668,0.13542143245915622,0.21928283073893184,-1.3882631166733652
2018-01-01,-1.3447535850408359,0.1990901486307648,0.21928283073893184,-1.4801961390088334
2018-02-01,-0.7809958575600611,0.21852315143493078,0.21928283073893184,-0.731609851941097
2018-03-01,-0.39223542407249146,0.167699497651846,0.21928283073893184,-0.29948835789635275
2018-04-01,-0.36501216127759345,0.11313839482462563,0.21928283073893184,-0.36657367424856413
2018-05-01,-0.37411615030203194,0.08926821895707254,0.21928283073893184,-0.4108432088098474
2018-06-01,-0.2799299683276886,0.07658377823296417,0.21928283073893184,-0.2227456912486523
2018-07-01,-0.37769737439127204,0.09057944361086381,0.21928283073893184,-0.35402663586409616
2018-08-01,-0.5146406234185775,0.16516705810518834,0.21928283073893184,-0.5800320925799921
2018-09-01,-0.3438002023972079,0.27566629678815335,0.21928283073893184,-0.5135833627463441
2018-10-01,0.47101260512526655,0.30980934858418957,0.21928283073893184,0.6037748770422753
2018-11-01,0.846696558016601,0.27146334337365796,0.21928283073893184,0.6841756794970163
2018-12-01,1.6808266076846152,0.12737406040383326,0.21928283073893184,1.9385282641864554
2019-01-01,1.4971792795609011,-0.051497067536535046,0.21928283073893184,1.5417751580260903
2019-02-01,1.0225648517809183,-0.1442912463897337,0.21928283073893184,1.009463053663005
2019-03-01,0.5396950232357566,-0.14081410043473314,0.21928283073893184,0.4934766651018061
2019-04-01,0.2430023623043624,-0.06984209967664526,0.21928283073893184,0.06511425518590246
2019-05-01,0.5924970980547467,-0.04053314877415074,0.21928283073893184,0.7408002703032723
2019-06-01,0.4630495500692123,-0.0440964612845933,0.21928283073893184,0.4088161749520815
2019-07-01,0.508904796730704,-0.052121719525007784,0.21928283073893184,0.4928381467073583
2019-08-01,0.5861323344875554,-0.09348418418369159,0.21928283073893184,0.6756884772861762
2019-09-01,0.32633967431145805,-0.1281717031795945,0.21928283073893184,0.4015869698052068
2019-10-01,-0.185214427548907,-0.08341659476078053,0.21928283073893184,-0.2174522793248882
2019-11-01,-0.5057505889332952,0.05276547307594853,0.21928283073893184,-0.42280489669154614
2019-12-01,-0.9148162278494861,0.31083964376999096,0.21928283073893184,-1.1710889413254246
2020-01-01,-0.20254730424279999,0.5903515344030486,0.21928283073893184,-0.4546365242553483
2020-02-01,1.5421127775756587,0.6641398067703976,0.21928283073893184,1.4302456122487097
2020-03-01,3.5809695923001317,0.3788374312343792,0.21928283073893184,4.105822606963573
2020-04-01,3.5294335607380463,-0.03778668797361073,0.21928283073893184,3.7712776038842963
2020-05-01,2.33696635726817,-0.2618193959869723,0.21928283073893184,2.0914483515233955
2020-06-01,1.8058721133189386,-0.32781532591340307,0.21928283073893184,1.821799452584152
2020-07-01,1.1866748799091456,-0.32083952673808347,0.21928283073893184,1.1903975010976235
2020-08-01,0.5964072214914548,-0.23292466889218982,0.21928283073893184,0.36423204206903975
2020-09-01,0.8521031369196859,-0.18221149788306895,0.21928283073893184,0.7723107466810687
2020-10-01,1.3537815856657762,-0.29798577207243715,0.21928283073893184,1.7754287800387332
2020-11-01,0.34295893541074945,-0.39343830750825404,0.21928283073893184,0.1266534632095
2020-12-01,-0.013027460071667898,-0.41977817914923443,0.21928283073893184,-0.1104705981728826
2021-01-01,-0.09741955446292277,-0.5093515822507235,0.21928283073893184,0.1863746633780046
2021-02-01,-1.1977940007048047,-0.5530396191908163,0.21928283073893184,-1.097983413453711
2021-03-01,-2.5874594542347404,-0.391639610883885,0.21928283073893184,-2.96479565506606
2021-04-01,-2.5373847923551436,-0.18153905908105383,0.21928283073893184,-2.4894892506597106
2021-05-01,-2.4665537007515543,-0.041416164622386176,0.21928283073893184,-2.4299963020359066
2021-06-01,-2.3914378892986683,0.06574811995710653,0.21928283073893184,-2.4491437872549033
2021-07-01,-2.0375347748653767,0.12412637359243477,0.21928283073893184,-1.9873051996723583
2021-08-01,-1.8117060706785648,0.13766238222492916,0.21928283073893184,-1.8080202156772043
2021-09-01,-1.5947570761998622,0.12733516441947104,0.21928283073893184,-1.3768209055895828
2021-10-01,-2.076412659488356,0.2067676243010651,0.21928283073893184,-2.4262294033139096
2021-11-01,-1.3159129192693042,0.2786161229905311,0.21928283073893184,-1.0246753392563677
2021-12-01,-1.4502305257092476,0.3599615383824032,0.21928283073893184,-1.6469694453244745
2022-01-01,-0.839478739512684,0.46013070013696944,0.21928283073893184,-0.864317218248581
