month,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,annualized_alpha,excess_ret,fitted,residual
2014-10-01,0.0011477043865750025,0.7903124421632536,0.7117665345469647,-0.5660346854496817,0.026442247085613713,0.00234304956739456,0.25153524258637683,0.15945850803153297,0.2471419024950117,0.1111333303783151,0.013859722965808619,-0.0141999999999999,-0.014643867155000455,0.0004438671550005546
2014-11-01,0.0011477045634673373,0.7923632614075964,0.7117667091877782,-0.566278763836159,0.026441709501263233,0.002343028819119614,0.24021313418538548,0.1594534640601649,0.2444345822185609,0.11112475384935916,0.013859725115469068,0.0141999999999999,0.010868484597934866,0.003331515402065034
2014-12-01,0.0011477020845094,0.7928483147530614,0.7117678071761866,-0.5660770676986682,0.026440902853496873,0.002343008408353416,0.22815899820195093,0.15944860281980658,0.24176874144735278,0.11111617174094948,0.013859694990256965,-0.0073,-0.007036211849144741,-0.0002637881508552589
2015-01-01,0.0011477000292558744,0.7924499414584021,0.7117690346812985,-0.5659131329159813,0.02644026385769388,0.002342988384680003,0.21726320619586925,0.15944386635127192,0.2390669642775871,0.11110758842657624,0.013859670014058079,0.0023,0.007971645739913956,-0.005671645739913956
2015-02-01,0.0011476980022709655,0.7920460805824749,0.7117702593376829,-0.5657541528979495,0.02643964615206773,0.002342968541968774,0.20506672797886877,0.15943915238974052,0.23636940581938953,0.11109939619778879,0.013859645381388841,0.0182,0.021085486376261793,-0.002885486376261792
2015-03-01,0.001147698179698397,0.8005810625305281,0.7117709508475383,-0.5653463217524195,0.026437709545024446,0.002342949151449499,0.19899641323671166,0.1594344687454816,0.23361941339926887,0.11109138731469394,0.013859647537552089,-0.0161,-0.006487084039026138,-0.009612915960973863
2015-04-01,0.0011477015980927321,0.8061567533173266,0.711772094155046,-0.565318798107526,0.02643704913285888,0.002342930104612633,0.1915095520118367,0.15942981130198777,0.23084383099961397,0.11108341359965335,0.013859689079142035,0.0137,0.012740668976362005,0.0009593310236379951
2015-05-01,0.0011477119604661658,0.8361956793308093,0.7117759665381627,-0.5644351838650961,0.026434636626127106,0.0023429114983883103,0.18792033293495677,0.15942549706841122,0.22802537918072732,0.11107547026153425,0.013859815006534104,0.0364,0.013028720385461746,0.023371279614538255
2015-06-01,0.00114771857362868,0.8673667411419749,0.7117786991710027,-0.5631394675719119,0.02642983046470071,0.00234289315782315,0.18229008420118686,0.15942132415640134,0.22516960603299402,0.11106775930820645,0.0138598953721365,0.038,0.015109433023164136,0.022890566976835863
2015-07-01,0.0011477171853641853,0.9134374721281293,0.7117785693508415,-0.5619982568120294,0.02642240889934,0.0023428752134195307,0.17582048329505512,0.15941732772520317,0.2222661712716438,0.11106006038871974,0.013859878501432554,-0.0266,-0.02521441182121225,-0.0013855881787877486
2015-08-01,0.001147721192033188,0.9624948663470099,0.7117755309409732,-0.5633812817705164,0.026416255763798357,0.002342857561285894,0.1669785589395909,0.15941378232027006,0.2198609379813728,0.11105233057400547,0.01385992719196194,-0.0516999999999999,-0.03523350249929593,-0.016466497500703968
2015-09-01,0.0011477260817597213,1.0075270595948422,0.7117727713601782,-0.5647577484160096,0.026410089124519254,0.0023428404368227855,0.16367321354584688,0.15941033119154976,0.21740291235940246,0.11104460692614466,0.013859986613735664,0.003,-0.008614398519390748,0.011614398519390747
2015-10-01,0.0011477266581305509,1.0669486526419136,0.7117687439972007,-0.5648656471766262,0.026400772896404634,0.0023428236074600336,0.16091452513418156,0.15940696084786143,0.21499621710530845,0.11103698597519779,0.013859993618009936,0.0666,0.04850284411344561,0.018097155886554396
2015-11-01,0.0011477240268462493,1.1106188933769021,0.7117660958080463,-0.5655071744025439,0.026393050844375265,0.0023428071878414335,0.163398113505979,0.1594037608341859,0.21252879212794074,0.11102943516812601,0.01385996164166392,0.0038,-0.009376835100430206,0.013176835100430205
2015-12-01,0.001147722325762943,1.1534130261100213,0.7117636397834814,-0.5664651083182353,0.02638577509130624,0.0023427911019571557,0.1629440178388023,0.15940062419750742,0.21022873563425873,0.11102188196331257,0.013859940969467521,-0.006,0.006082591754043493,-0.012082591754043493
2016-01-01,0.0011477241124120442,1.1931730028210294,0.7117626774975694,-0.5680809728306047,0.026380606051461752,0.0023427753284407833,0.15953223676340772,0.1593977737394462,0.20791068000172272,0.1110144562379196,0.013859962681491034,-0.11320000000000001,-0.07620323776584732,-0.036996762234152686
2016-02-01,0.001147732932323993,1.1988003297412497,0.7117610418893731,-0.5713474574930208,0.026377130969379103,0.002342760031243307,0.1619482240846399,0.15939494811825178,0.2055783055822996,0.11100695825138863,0.013860069864346736,0.0116,-0.011750600224482302,0.0233506002244823
2016-03-01,0.001147739938158325,1.2058362608337243,0.7117589401173774,-0.5744953811933038,0.026373759915781392,0.002342745234560534,0.16151396012253805,0.15939224251293982,0.20318732107916193,0.1109994786799737,0.013860155001863328,0.0794,0.07351152123820694,0.005888478761793062
2016-04-01,0.0011477503351271596,1.229963383497584,0.7117577838078892,-0.5777390092591621,0.02636952673415338,0.0023427307611215693,0.1679577484978702,0.15938969596194574,0.2007372273551265,0.11099204955174927,0.0138602813497255,0.0184,0.034672970842660626,-0.016272970842660626
2016-05-01,0.001147762490266817,1.2581987268772596,0.7117568223914028,-0.580212237373555,0.026364513858524674,0.002342716713528856,0.17327212323009267,0.15938717783246814,0.19854537399043135,0.1109846756114253,0.013860429063555335,0.0217,0.005794270369043914,0.015905729630956086
2016-06-01,0.0011477715218668689,1.2885001362605972,0.7117556930990601,-0.5817482670474198,0.026357727697594147,0.0023427029753181772,0.1761017671015295,0.15938466288451586,0.19642641582928067,0.11097739858026272,0.013860538818971424,-0.046,-0.012502178733024071,-0.033497821266975925
2016-07-01,0.0011477847201134916,1.3089757017451207,0.7117553615860224,-0.5841817003935682,0.026356094607324687,0.002342689433266968,0.1785938677288157,0.15938218609951638,0.19422121295408776,0.11097114448738556,0.013860699209070182,0.0635,0.05723934758149898,0.006260652418501024
2016-08-01,0.0011477963766181704,1.323875700400627,0.7117549860528006,-0.5871235247220853,0.02635478863910562,0.002342676147152443,0.18416302065754503,0.15937971194761277,0.19210188111038193,0.11096487338966218,0.013860840863354262,0.0038,-0.006606552561203192,0.010406552561203193
2016-09-01,0.0011478049253129418,1.3385746017288327,0.7117546261786838,-0.5912055583165527,0.02635592425342992,0.002342663483975913,0.1877136172857557,0.1593772370983713,0.19009806771470336,0.11095910881385732,0.013860944750358817,0.07619999999999999,0.04330922831450044,0.03289077168549955
2016-10-01,0.0011478070831108969,1.3459676944319885,0.7117520229425988,-0.5948604152618683,0.02635362710896652,0.0023426510550333857,0.18997740822853793,0.15937496010752086,0.18800835696677232,0.11095352853457603,0.013860970972745523,-0.07200000000000001,-0.04714757309642387,-0.02485242690357614
2016-11-01,0.0011478134977121128,1.3482497455780125,0.7117498057787754,-0.5952779440431308,0.026350044335006526,0.002342639129040439,0.19125042050037444,0.1593727006827467,0.18706224071143898,0.11094791283640854,0.013861048925440489,-0.037500000000000006,-0.04944270175260624,0.011942701752606234
