month,window,alpha,Mkt_RF,SMB,HML,Mom,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,r2,nobs,fitted_oos,residual_oos,excess_ret,annualized_alpha
2014-10-01,24,,,,,,,,,,,,,,,-0.0141999999999999,
2014-11-01,24,,,,,,,,,,,,,,,0.0141999999999999,
2014-12-01,24,,,,,,,,,,,,,,,-0.0073,
2015-01-01,24,,,,,,,,,,,,,,,0.0023,
2015-02-01,24,,,,,,,,,,,,,,,0.0182,
2015-03-01,24,,,,,,,,,,,,,,,-0.0161,
2015-04-01,24,,,,,,,,,,,,,,,0.0137,
2015-05-01,24,,,,,,,,,,,,,,,0.0364,
2015-06-01,24,,,,,,,,,,,,,,,0.038,
2015-07-01,24,,,,,,,,,,,,,,,-0.0266,
2015-08-01,24,,,,,,,,,,,,,,,-0.0516999999999999,
2015-09-01,24,,,,,,,,,,,,,,,0.003,
2015-10-01,24,,,,,,,,,,,,,,,0.0666,
2015-11-01,24,,,,,,,,,,,,,,,0.0038,
2015-12-01,24,,,,,,,,,,,,,,,-0.006,
2016-01-01,24,,,,,,,,,,,,,,,-0.11320000000000001,
2016-02-01,24,,,,,,,,,,,,,,,0.0116,
2016-03-01,24,,,,,,,,,,,,,,,0.0794,
2016-04-01,24,,,,,,,,,,,,,,,0.0184,
2016-05-01,24,,,,,,,,,,,,,,,0.0217,
2016-06-01,24,,,,,,,,,,,,,,,-0.046,
2016-07-01,24,,,,,,,,,,,,,,,0.0635,
2016-08-01,24,,,,,,,,,,,,,,,0.0038,
2016-09-01,24,0.0013804773186519449,1.0287703359672251,0.6835234193654168,0.18125125506006823,0.3771915951363214,0.006318805291596556,0.18775271566415513,0.41563224029930956,0.6224733503984505,0.3890752004446388,0.6770080495454738,24.0,,,0.07619999999999999,0.016692085764914433
2016-10-01,24,-0.002902502441753047,1.1390884698980839,0.9553090934325893,-0.4604773597733357,0.18449906573513863,0.00654091607868982,0.18924153721331688,0.42268591927350124,0.4774035242098391,0.38766624949058265,0.6824766699921573,24.0,-0.008788523771505994,-0.06321147622849402,-0.07200000000000001,-0.03427935546625971
2016-11-01,24,-0.0036771321802285747,1.1147177973817348,1.0649490709839537,-0.4326265047038185,0.1314155146013476,0.00639570129509691,0.17456649164175878,0.4399717140897597,0.47109393206598676,0.3648795747340418,0.7013246756440753,24.0,-0.050150715741683186,0.01265071574168318,-0.037500000000000006,-0.04324402863804888
2016-12-01,24,-0.003356478291291711,1.120079472231768,1.0329920696628476,-0.412428788062317,0.13622789637065447,0.0062822261510485245,0.17561523581517435,0.4367620620887613,0.46822478748586127,0.36534521268144965,0.7003714600277697,24.0,0.006582586703105724,0.008817413296894274,0.015399999999999999,-0.03954244359418402
2017-01-01,24,-0.0035364326638113947,1.125810086656061,1.055983874123134,-0.4059497525243355,0.1347201960560882,0.006402973456740614,0.16820915468657358,0.4595785001739397,0.45464005493780385,0.3613761003044114,0.7149580954552885,24.0,0.0513843358227471,0.0044156641772528996,0.0558,-0.041621425619413066
