month,alpha,Mkt_RF,SMB,HML,Mom,regime_index,alpha_se,Mkt_RF_se,SMB_se,HML_se,Mom_se,regime_index_se,annualized_alpha,excess_ret,fitted,residual,regime_level
2014-10-01,-0.0012469346305482658,0.5904154905205251,0.22782522277783937,0.4284505844544128,0.5853158039411209,-0.006314125342689915,0.02982243794805019,0.7871395028716243,1.4300905586678005,1.9779933014864166,1.2760903153746914,0.028641804231780272,-0.014861021072152591,-0.0141999999999999,-0.014379223167625795,0.000179223167625895,-1.3024365904447388
2014-11-01,0.000397573758003816,0.6042025726089717,0.21512246004335045,0.38421674717052945,0.5502677342744406,-0.009162577988093945,0.03669377106521828,0.8509295768908894,1.373526499474001,1.9879534849273415,1.261013579731211,0.039850118044254666,0.004781331216701545,0.0141999999999999,0.010927621536863125,0.003272378463136775,-0.930806364920027
2014-12-01,-0.004099163240263986,0.6259077677592356,0.26008726510498414,0.37044363859258134,0.5187185925123043,-0.008186629076962855,0.036907483061422226,0.8651503979339165,1.358899584305355,1.9854201374374503,1.2175483936945277,0.04868994613443676,-0.0480959661809649,-0.0073,-0.005874717916976364,-0.0014252820830236356,-0.30782339161402084
2015-01-01,-0.007680844556215118,0.6416544749646629,0.31068571076258095,0.3551089809132417,0.48971954312142113,-0.007309115689411924,0.038514621543173845,0.8958938747906913,1.3830941520630298,1.975676733371415,1.1346480100935672,0.0540247335624294,-0.08837442775322357,0.0023,0.005272154942310017,-0.0029721549423100168,-0.0946277406301961
2015-02-01,-0.008835394368680513,0.6554884172294246,0.35374496574434156,0.3333650939058691,0.4832907781663627,-0.006205925406086841,0.03948672639294651,0.8823755551204108,1.383962191538915,1.9533373321790224,1.159276926848064,0.05728109730638884,-0.10102126145776014,0.0182,0.01851146535651163,-0.0003114653565116296,-0.5758831060852314
2015-03-01,-0.014449682256296188,0.6310626373851074,0.41742569572184374,0.3108712843727407,0.5192569062617026,-0.004225734095751615,0.04049425623961579,0.868338690655837,1.3703352750009419,1.920910544330242,1.2240518379414034,0.05873611499393672,-0.16025847873848464,-0.0161,-0.013276106251044171,-0.002823893748955829,-0.510795508202745
2015-04-01,-0.012108281937758654,0.575339023405538,0.5022108664232687,0.2683458177273469,0.5826567867052634,-0.004304316239054117,0.04354864650236901,0.8428924657293079,1.3169322370848984,1.8824955512599568,1.249416297960841,0.05983462415113807,-0.1360031984732647,0.0137,0.014050005204252702,-0.000350005204252702,-0.4588500426841736
2015-05-01,0.001460929943603405,0.6155400358718015,0.7050887745188387,0.24298766131023086,0.5957575738478883,-0.005551948640973704,0.04204955010005677,0.8769911428549967,1.3334783265484733,1.830948729500845,1.2601697292410232,0.058855816618925305,0.017672712438255855,0.0364,0.028073523034524123,0.008326476965475879,-0.47975893596991126
2015-06-01,0.010925451340178154,0.6621241423617197,0.8798388848748092,0.22467054434311517,0.5763730196196308,-0.005879533708030461,0.03523731910734584,0.8697745101824997,1.3183700641915612,1.7666083753939723,1.3227913070567305,0.057028430700909474,0.13927762271741462,0.038,0.032091958359174826,0.0059080416408251735,-0.14858586390381923
2015-07-01,0.003776318887570353,0.8003647615589015,0.9325824938910057,0.1993381207216054,0.5230335900450261,-0.006642411902653501,0.03727718702521279,0.869444238620057,1.296049876391505,1.6904244077402497,1.3521839483113873,0.052919258713230305,0.04626897404663444,-0.0266,-0.025625266039636,-0.0009747339603639986,0.043469888114541916
2015-08-01,0.004289379013234137,0.9400501599192843,0.8933641668655233,0.10449291024388585,0.47551927482633455,-0.005969749251853958,0.044825296943246024,0.8199052233410574,1.3733928642304083,1.6868020529151875,1.3526916650259988,0.04564911499614959,0.05270439810021488,-0.0516999999999999,-0.0496048721598213,-0.0020951278401785955,1.2754360259959394
2015-09-01,0.012762766984779447,1.011898771626785,0.8927515746816953,0.010089906010416483,0.40231458943357057,0.0010763831066695432,0.05430591779862158,0.8284499680620099,1.4264285141146185,1.6703198574843703,1.3630299045190206,0.0398834361584291,0.1643745912358352,0.003,-0.0007510700958061507,0.003751070095806151,1.5723955248180237
2015-10-01,0.014252919608296928,1.1186790565614686,0.8617280228810281,-0.06290972664346817,0.2930576738742664,0.0011029037638022403,0.05866753709404165,0.7894490481993034,1.4558028219059198,1.6463015568356074,1.3973226538770778,0.03989106460837092,0.18510054639284745,0.0666,0.06433396941422516,0.0022660305857748475,1.3360939881721476
2015-11-01,0.008862369584333746,1.1520275483425513,0.8747606065208421,-0.14958084488253376,0.22116481783706776,-0.00609257435742517,0.06125185955526897,0.8235659252700505,1.5018402246347762,1.6182528302756667,1.415393672823596,0.040541730576144394,0.11168841177645472,0.0038,0.00444936517651388,-0.0006493651765138802,1.5211026767490294
2015-12-01,0.004115230090686407,1.1851197647623413,0.8899742671491309,-0.23892585129181643,0.1512094991069206,-0.012628531492351108,0.06512408687140805,0.8158477553013385,1.5306361370712327,1.6082128630258905,1.4058073562020723,0.03859808899301194,0.05051595404698883,-0.006,-0.001686508809035838,-0.004313491190964162,1.8815588837360784
2016-01-01,0.003176845497781095,1.2201831981215103,0.9323619605778608,-0.33344999442662915,0.09876889289723922,-0.014555800902895231,0.06471247819657452,0.767699764996724,1.5943977494456285,1.5761912159380418,1.4013626370072565,0.03930716260217026,0.038795345174157836,-0.11320000000000001,-0.11057205883737906,-0.002627941162620953,2.030406995700368
