sector,allocation,selection,interaction,total_active_return
business_services,-0.0010019752879599603,-0.005533960425755607,0.0334636459925578,0.026927710278842238
consumer_cyclicals,0.010234458118799954,-0.014851607208106372,0.033920035299059896,0.02930288620975348
consumer_non_cyclicals,0.013996302053496563,0.007615185274404029,-0.029222124242608054,-0.007610636914707467
consumer_services,-0.006438668689542461,0.026759180592170657,0.06540776024323353,0.08572827214586172
energy,0.010133065508193586,0.6704610322558133,-0.6703586673116778,0.010235430452329029
finance,-0.0005060128679186536,-0.09358949902435473,0.10559243139324317,0.011496919500969784
healthcare,0.011052361768622959,0.0039040183721783268,0.030416436906172437,0.045372817046973726
industrials,-0.03197301485899271,-0.058528757728397246,0.06689407115498835,-0.02360770143240161
non_corporate,-0.006608892173353962,-0.006915232772576327,0.006915232772576327,-0.006608892173353962
non_energy_materials,-0.005426672727570566,0.012811438265879521,0.006746931205546663,0.014131696743855615
technology,0.018959786608269146,0.02203999980518228,0.22397610564865134,0.26497589206210276
telecommunications,0.01041464995111708,0.00519961708898561,-0.00519961708898561,0.01041464995111708
utilities,-0.0044622199840663864,-0.010512645336610681,0.010512645336610681,-0.004462219984066388
