date,actual_ret,pred_ret,cnn_pred,tf_pred,residual,n_holdings_with_chars,n_holdings_total,coverage_pct
2018-04-01,0.2453611247857839,0.017432097495715726,0.031265156971162035,0.03767562646226371,0.22792902729006817,35,41,85.36585365853658
2018-05-01,0.11587635462079428,0.019485218030225366,0.03418019710193259,0.03772255877847109,0.09639113659056892,43,50,86.0
2018-06-01,-0.01079093293629533,0.018395875774918233,0.032737965059417694,0.03766346313631444,-0.029186808711213562,45,53,84.90566037735849
2018-07-01,-0.007227399358123503,0.017651326322076336,0.031604097581598024,0.037661058281313914,-0.02487872568019984,46,55,83.63636363636363
2018-08-01,0.031899931057159915,0.01755715134648355,0.0312528992401646,0.03768889716321888,0.014342779710676365,46,55,83.63636363636363
2018-09-01,-0.008571367279381736,0.01715638322176578,0.030871979415278406,0.03767710347268336,-0.025727750501147516,45,56,80.35714285714286
2018-10-01,-0.13954922960072075,0.017947901355102616,0.03210585884277327,0.03779622302473734,-0.15749713095582335,46,58,79.3103448275862
2018-11-01,0.004145455124695358,0.018210008517091834,0.032271044751160674,0.037904099683181945,-0.014064553392396477,45,57,78.94736842105263
2018-12-01,-0.16025260819509932,0.018018955707742954,0.031325664728491215,0.037778440265146804,-0.17827156390284227,46,57,80.7017543859649
2019-01-01,0.11582047946484497,0.017986014467230114,0.03169493481068707,0.03787235049749697,0.09783446499761486,46,58,79.3103448275862
2019-02-01,-0.0075950347894502045,0.016682404817963077,0.03017444185428972,0.03772638947712524,-0.02427743960741328,48,60,80.0
2019-03-01,0.020823592972862154,0.016544870544437727,0.03040716480822096,0.03780404002076732,0.004278722428424427,50,64,78.125
2019-04-01,0.054290970312649914,0.016730232938232472,0.03046223214922843,0.037727903502375246,0.03756073737441744,50,66,75.75757575757575
2019-05-01,-0.033736652672702205,0.016824542071644612,0.030890435571339338,0.03775132960677842,-0.05056119474434682,52,68,76.47058823529412
2019-06-01,-0.0077791536534241494,0.017694266278109418,0.031765553893546856,0.03778514145812039,-0.025473419931533566,52,68,76.47058823529412
2019-07-01,0.04922460486865727,0.016380712691704644,0.030243155264636216,0.037849887601114574,0.032843892176952626,52,69,75.36231884057972
2019-08-01,-0.023988895101156673,0.017432536253251585,0.030960355960473734,0.03777084344831434,-0.04142143135440826,54,71,76.05633802816901
2019-09-01,0.055449478363766964,0.017376271394177408,0.031073489455311177,0.03778520628266592,0.03807320696958956,54,71,76.05633802816901
