Date Posted,Activity,Description,Principal Cash
01/02/20,Purchase,"Purchased 128,338.71 Units Of -128,338.71 128,338.71 First Am Govt Ob Fd Cl X Trade Date 1/2/20 First Am Govt Ob Fd Cl X Interest From 12/1/19 To 12/31/19 Transfer From Another Account",0.00
01/03/20,Purchase,"Purchased 8,854.02 Units Of -8,854.02 8,854.02 First Am Govt Ob Fd Cl X Trade Date 1/3/20 Transfer From Another Account",0.00
01/06/20,Purchase,"Purchased 26,387.04 Units Of -26,387.04 26,387.04 First Am Govt Ob Fd Cl X Trade Date 1/6/20 Transfer From Another Account",0.00
01/07/20,Purchase,"Purchased 18,502.69 Units Of -18,502.69 18,502.69 First Am Govt Ob Fd Cl X Trade Date 1/7/20 21880 00- -A -UC-UZ -001-04","17,014.85"
01/07/20,Purchase,"Purchased 20,000 Shares Of -17,014.85 17,014.85 Zoo Digital Group Net Cost 17,014.85 USD Trade Date 1/3/20 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 8.50 USD Brokerage Paid 1.31 USD Misc Fee1 Book Value 13,007.50 GBP Traded At 0.76447926 GBP To 1 USD Valued At 0.76447926 GBP For 17,014.85 USD 20,000 Shares At 0.65 GBP Transfer From Another Account",0.00
01/08/20,Sale,"Sold 215,137.1 Units Of 215,137.10 -215,137.10 First Am Govt Ob Fd Cl X Trade Date 1/8/20","287,871.89"
01/08/20,Purchase,"Purchased 80,000 Shares Of -70,672.81 70,672.81 Zoo Digital Group Net Cost 70,672.81 USD Trade Date 1/6/20 Purchased Through Crst 784 Jpmorgan Secs Ltd Paid 35.31 USD Brokerage Paid 1.32 USD Misc Fee1 Book Value 53,675.82 GBP Traded At 0.75949746 GBP To 1 USD Valued At 0.75949746 GBP For 70,672.81 USD 80,000 Shares At 0.6706 GBP","217,199.08"
01/08/20,Purchase,"Purchased 10,000 Shares Of -147,962.25 148,049.91 Ushio Inc Net Cost 147,962.25 USD Trade Date 1/6/20 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 73.94 USD Brokerage Book Value 15,993,092 JPY Traded At 108.08900243 JPY To 1 USD Valued At 108.025 JPY For 148,049.91 USD 10,000 Shares At 1,598.51 JPY 21880 00- -A -UC-UZ -001-04","69,236.83"
01/08/20,Purchase,"Purchased 2,000 Shares Of -69,236.83 69,236.83 Cyberagent Inc Npv Net Cost 69,236.83 USD Trade Date 1/6/20 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 34.60 USD Brokerage Book Value 7,483,740 JPY Traded At 108.08900407 JPY To 1 USD Valued At 108.08900407 JPY For 69,236.83 USD 2,000 Shares At 3,740 JPY",0.00
01/09/20,Sale,"Sold 182,138.72 Units Of 182,138.72 -182,138.72 First Am Govt Ob Fd Cl X Trade Date 1/9/20","148,737.31"
01/09/20,Sale,"Sold 3,756.51 Units Of 3,756.51 -3,756.51 First Am Govt Ob Fd Cl X Trade Date 1/9/20","152,493.82"
01/09/20,Purchase,"Purchased 14,000 Shares Of -152,493.82 152,493.82 Tomtom Net Cost 152,493.82 USD Trade Date 1/7/20 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 76.21 USD Brokerage Purchased On The NYSE Euronext - Euronext Amste Book Value 136,398.77 EUR Traded At 0.89445441 EUR To 1 USD Valued At 0.89445441 EUR For 152,493.82 USD 14,000 Shares At 9.7379 EUR 21880 00- -A -UC-UZ -001-04",0.00
01/10/20,Sale,Sold 407.2 Units Of 407.20 -407.20 First Am Govt Ob Fd Cl X Trade Date 1/10/20 Transfer From Another Account,0.00
01/13/20,Purchase,"Purchased 209,892.28 Units Of -209,892.28 209,892.28 First Am Govt Ob Fd Cl X Trade Date 1/13/20",0.00
01/14/20,Purchase,"Purchased 41,121.97 Units Of -41,121.97 41,121.97 First Am Govt Ob Fd Cl X Trade Date 1/14/20",-60.00
01/14/20,Sale,"Sold 121,764.31 Units Of 121,764.31 -121,764.31 First Am Govt Ob Fd Cl X Trade Date 1/14/20 21880 00- -A -UC-UZ -001-04","121,704.31"
01/14/20,Sale,"Sold 92,450 Units Of 92,450.00 -92,450.00 First Am Govt Ob Fd Cl X Trade Date 1/14/20","214,154.31"
01/14/20,Purchase,"Purchased 1,000 Shares Of -121,764.31 121,764.31 Capgemini Net Cost 121,764.31 USD Trade Date 1/9/20 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 60.67 USD Brokerage Paid 364.02 USD Misc Fee1 Book Value 109,609.68 EUR Traded At 0.90017912 EUR To 1 USD Valued At 0.90017912 EUR For 121,764.31 USD 1,000 Shares At 109.22739292 EUR","92,390.00"
01/14/20,Purchase,"Purchased 5,000 Shares Of -92,450.00 92,450.00 Fanuc Corporation A D R Trade Date 1/9/20 Purchased Through J.P. Morgan Securities LLC Paid 50.00 USD Brokerage 5,000 Shares At 18.48 USD Transfer From Another Account",-60.00
01/15/20,Purchase,"Purchased 29,530.29 Units Of -29,530.29 29,530.29 First Am Govt Ob Fd Cl X Trade Date 1/15/20 Taiwan Semiconductor A D R 0.416889 USD/Share On 4,000 Shares Due 1/16/20 21.0000000% Foreign Taxes Withheld Non-USD Taxes Taiwan Semiconductor A D R Transfer From Another Account 21880 00- -A -UC-UZ -001-04",0.00
01/16/20,Purchase,Purchased 477.73 Units Of -477.73 477.73 First Am Govt Ob Fd Cl X Trade Date 1/16/20 Transfer From Another Account,"1,317.37"
01/21/20,Sale,"Sold 48,270.00 Units Of 437.90 -437.90 Yen Trade Date 1/20/20 Value Date 1/21/20 Book Value 48,270 JPY Traded At 110.23 JPY To 1 USD Valued At 110.23 JPY For 437.90 USD Net Proceeds 437.90 USD Repatriating Askul Corp Npv 21880 00- -A -UC-UZ -001-04","73,302.13"
01/21/20,Purchase,"Purchased 63,002.13 Units Of -63,002.13 63,002.13 First Am Govt Ob Fd Cl X Trade Date 1/21/20","73,302.13"
01/21/20,Purchase,"Purchased 72,426.33 Units Of -72,426.33 72,426.33 First Am Govt Ob Fd Cl X Trade Date 1/21/20 48,270 Yen 99999JPY3 Transfer From Another Account",875.80
01/22/20,Purchase,"Purchased 107,470.09 Units Of -107,470.09 107,470.09 First Am Govt Ob Fd Cl X Trade Date 1/22/20 21880 00- -A -UC-UZ -001-04","-97,899.39"
01/22/20,Sale,"Sold 5,000 Shares Of 97,899.39 -118,795.47 Fevertree Drinks Plc Net Proceeds 97,899.39 USD Trade Date 1/20/20 Sold Through Crst 784 Jpmorgan Secs Ltd Paid 48.97 USD Brokerage Paid 1.30 USD Misc Fee1 Book Value 91,677.32 GBP Local Proceeds 75,329.82 GBP Traded At 0.76946159 GBP To 1 USD Valued At 0.76946159 GBP For 97,899.39 USD 5,000 Shares At 15.0737 GBP Transfer From Another Account",0.00
01/23/20,Purchase,"Purchased 170,859.9 Units Of -170,859.90 170,859.90 First Am Govt Ob Fd Cl X Trade Date 1/23/20 Transfer From Another Account",0.00
01/24/20,Purchase,"Purchased 12,328.41 Units Of -12,328.41 12,328.41 First Am Govt Ob Fd Cl X Trade Date 1/24/20 Transfer From Another Account",0.00
01/27/20,Sale,"Sold 5,472.6 Units Of 5,472.60 -5,472.60 First Am Govt Ob Fd Cl X Trade Date 1/27/20 21880 00- -A -UC-UZ -001-04","8,189.35"
