Date Posted,Activity,Description,Principal Cash
01/03/22,Sale,"Sold 5,768.70 Units Of 638.69 -638.69 Swedish Krona Trade Date 12/30/21 Value Date 1/3/22 Book Value 5,768.70 SEK Traded At 9.032123 SEK To 1 USD Valued At 9.032123 SEK For 638.69 USD Net Proceeds 638.69 USD Repatriating Vitec Software Group Ab B Sh Transfer To Income Vitec Software Group Ab B Sh Repatriating Vitec Software Group Ab B Sh Transfer From Principal Vitec Software Group Ab B Sh Repatriating Vitec Software Group Ab B Sh Transfer From Another Account","-81,408.35"
01/03/22,Purchase,"Purchased 506,029.27 Units Of -506,029.27 506,029.27 First Am Govt Ob Fd Cl X Trade Date 1/3/22 25233 00- -A -UC-UZ -365-04","-564,249.89"
01/03/22,Sale,"Sold 5,000 Shares Of 320,638.14 -339,772.61 Fnac Darty Net Proceeds 282,488.13 EUR Trade Date 12/30/21 Sold Through Jeffus33 Jefferies Jersey City Paid 424.37 EUR Brokerage Book Value 246,218.05 EUR Valued At 0.8810185 EUR For 320,638.14 USD Fed Tax Cost Of Proceeds 5,000 Shares At 56.5825 EUR","-243,611.75"
01/03/22,Sale,"Sold 10,000 Shares Of 245,985.74 -232,800.00 Materialise Nv A D R Trade Date 12/30/21 Sold Through Jefferies LLC Paid 400.00 USD Brokerage Paid 1.26 USD Sec Fee Sold On The OTC Bulletin Board 10,000 Shares At 24.6387 USD","2,373.99"
01/03/22,Sale,"Sold 282,488.13 Units Of 319,541.53 -320,638.14 Euro Trade Date 12/31/21 Value Date 1/3/22 Book Value 282,488.13 EUR Traded At 0.88404199 EUR To 1 USD Valued At 0.88404199 EUR For 319,541.53 USD Net Proceeds 319,541.53 USD Fed ST Currency Loss On EUR Of 1,096.61- USD Fx7338355-Aset First Am Govt Ob Fd Cl X Interest From 12/1/21 To 12/31/21 5,768.70 Swedish Krona 99999SEK5 282,488.13 Euro 99999EUR3 25233 00- -A -UC-UZ -365-04","321,915.52"
01/04/22,Sale,"Sold 506,029.27 Units Of 506,029.27 -506,029.27 First Am Govt Ob Fd Cl X Trade Date 1/4/22","-540,936.23"
01/04/22,Sale,"Sold 45,000 Shares Of 100,165.10 -113,669.12 Boku Inc Net Proceeds 74,273.42 GBP Trade Date 12/30/21 Sold Through Jeffgb2x Jefferies Intl London Paid 111.58 GBP Brokerage Sold On The London Stock Exchange Book Value 78,492.56 GBP Valued At 0.74151 GBP For 100,165.10 USD Fed Tax Cost Of Proceeds 45,000 Shares At 1.653 GBP","-440,771.13"
01/04/22,Sale,"Sold 10,000 Shares Of 337,831.31 -319,627.14 Nordic Semiconductor Asa Net Proceeds 2,965,719.74 NOK Trade Date 12/30/21 Sold Through Parbfrpp Banque Paribas Fr Paid 4,455.26 NOK Brokerage Book Value 1,927,737.01 NOK Valued At 8.7787 NOK For 337,831.31 USD Fed Tax Cost Of Proceeds 10,000 Shares At 297.0175 NOK","-102,939.82"
01/04/22,Sale,"Sold 74,273.42 Units Of 100,450.80 -100,165.10 British Pound Trade Date 12/31/21 Value Date 1/4/22 Book Value 74,273.42 GBP Traded At 0.73940098 GBP To 1 USD Valued At 0.73940098 GBP For 100,450.80 USD Net Proceeds 100,450.80 USD Fed ST Currency Gain On GBP Of 285.70 USD Fx7339169-Aset 25233 00- -A -UC-UZ -365-04","-2,489.02"
01/04/22,Sale,"Sold 2,965,719.74 Units Of 333,358.48 -337,831.31 Norwegian Krone Trade Date 1/3/22 Value Date 1/4/22 Book Value 2,965,719.74 NOK Traded At 8.89648807 NOK To 1 USD Valued At 8.89648807 NOK For 333,358.48 USD Net Proceeds 333,358.48 USD Fed ST Currency Loss On NOK Of 4,472.83- USD Fx7340354-Aset 74,273.42 British Pound 99999GBP3 2,965,719.74 Norwegian Krone 99999NOK5 Transfer From Another Account","330,869.46"
