Date Posted,Activity,Description,Principal Cash
01/04/21,Purchase,"Purchased 25,695.99 Units Of -25,695.99 25,695.99 First Am Govt Ob Fd Cl X Trade Date 1/4/21 First Am Govt Ob Fd Cl X Interest From 12/1/20 To 12/31/20 Transfer From Another Account",0.00
01/05/21,Purchase,"Purchased 4,256.31 Units Of -4,256.31 4,256.31 First Am Govt Ob Fd Cl X Trade Date 1/5/21 Transfer From Another Account",0.00
01/06/21,Purchase,"Purchased 21,030.69 Units Of -21,030.69 21,030.69 First Am Govt Ob Fd Cl X Trade Date 1/6/21 13523 00- -A -UC-UZ -001-04",0.00
01/07/21,Sale,"Sold 183,134.89 Units Of 183,134.89 -183,134.89 First Am Govt Ob Fd Cl X Trade Date 1/7/21 Transfer From Another Account",0.00
01/08/21,Purchase,"Purchased 6,828.52 Units Of -6,828.52 6,828.52 First Am Govt Ob Fd Cl X Trade Date 1/8/21 Transfer From Another Account",0.00
01/11/21,Purchase,"Purchased 82,311.73 Units Of -82,311.73 82,311.73 First Am Govt Ob Fd Cl X Trade Date 1/11/21 Transfer From Another Account",0.00
01/12/21,Purchase,"Purchased 374,323.2 Units Of -374,323.20 374,323.20 First Am Govt Ob Fd Cl X Trade Date 1/12/21","-349,316.40"
01/12/21,Sale,"Sold 4,500 Shares Of 351,770.72 -64,594.09 Materialise Nv A D R Trade Date 1/8/21 Sold Through J.P. Morgan Securities LLC Paid 45.00 USD Brokerage Paid 7.78 USD Sec Fee 4,500 Shares At 78.183 USD 13523 00- -A -UC-UZ -001-04","2,454.32"
01/13/21,Purchase,"Purchased 304,906.19 Units Of -304,906.19 304,906.19 First Am Govt Ob Fd Cl X Trade Date 1/13/21","-307,914.91"
01/13/21,Sale,"Sold 2,454.32 Units Of 2,454.32 -2,454.32 First Am Govt Ob Fd Cl X Trade Date 1/13/21","-305,460.59"
01/13/21,Sale,"Sold 13,093 Shares Of 305,460.59 -293,130.01 Ams Ag Net Proceeds 305,460.59 USD Trade Date 1/11/21 Sold Through Jpmsgb2l Jp Morgan Sec London Paid 458.88 USD Brokerage Book Value 290,760.05 CHF Local Proceeds 271,991.27 CHF Traded At 0.89042999 CHF To 1 USD Valued At 0.89042999 CHF For 305,460.59 USD 13,093 Shares At 20.80500038 CHF Taiwan Semiconductor A D R 0.446428 USD/Share On 6,050 Shares Due 1/14/21 21.0000000% Foreign Taxes Withheld 13523 00- -A -UC-UZ -001-04",0.00
01/14/21,Purchase,"Purchased 8,056.65 Units Of -8,056.65 8,056.65 First Am Govt Ob Fd Cl X Trade Date 1/14/21","2,133.70"
01/15/21,Purchase,"Reversal- 13,093 Shares Of -305,460.59 305,460.59 Ams Ag Net Cost 305,460.59 USD Trade Date 1/11/21 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 458.88- USD Brokerage Book Value 271,991.27 CHF Traded At 0.89042999 CHF To 1 USD Valued At 0.89042999 CHF For 305,460.59 USD Reversal Of Trx 33034 Batch Zy000489 From 1/13/21 13,093 Shares At 20.80500038 CHF It 1797645 Rev To Change To Dvp Transfer From Another Account","-303,326.89"
