Trade_Date,Clean_Name,Ticker,Action,Qty,Price,Currency,FX_Rate_to_USD,Price_USD,Transaction_Value_USD
2022-11-18,Ryanair Ltd,RYAAY,1,15000.0,12.837,EUR,1.036173,13.3014,199521.0
2022-11-30,Moncler Spa,MONC.MI,1,5000.0,48.82,EUR,1.03245,50.4042,252021.0
2022-12-01,Farfetch Ltd Class A,FTCH,1,15000.0,6.285,USD,1.0,6.285,94275.0
2022-12-13,Future Plc Ord,FUTR.L,1,10000.0,13.165,GBP,1.227084,16.1546,161546.0
2022-12-15,Accesso Technology Group Plc,ACSO.L,-1 ,10000.0,7.9271,GBP,1.241943,9.845,98450.0
2022-12-15,Grupo Aeroportuario Sure Spon A D R,ASR,-1 ,800.0,245.5006,USD,1.0,245.5006,196400.48
2022-12-15,Aston Martin Lagonda Gbl Hldgs Plc O,AML.L,-1 ,100000.0,1.6485,GBP,1.241943,2.0473,204730.0
2022-12-23,Frontier Developments Plc,FDEV.L,1,9191.0,9.42710042,GBP,1.203992,11.3502,104319.69
2022-12-28,Lumibird,LBIRD.PA,-1 ,5000.0,16.0225,EUR,1.063717,17.0434,85217.0
2022-12-28,Aston Martin Lagonda Gbl Hldgs Plc O,AML.L,-1 ,40000.0,1.5033,GBP,1.202733,1.8081,72324.0
2022-12-28,Frontier Developments Plc,FDEV.L,1,809.0,9.55889988,GBP,1.202733,11.4968,9300.91
