Date Posted,Activity,Description,Principal Cash
02/19/19,Purchase,"Purchased 4,000 Shares Of -50,870.47 50,819.13 Pva Tepla Ag Net Cost 50,870.47 USD Trade Date 2/14/19 Purchased Through Jpmsgb2leql Jp Morgan Eq Lndn Paid 25.42 USD Brokerage Purchased On The Boerse Frankfurt - Regulierter Book Value 45,022.50 EUR Traded At 0.88504195 EUR To 1 USD Valued At 0.885936 EUR For 50,819.13 USD 4,000 Shares At 11.25 EUR 16664 00- -A -UC-UZ -001-04",0.00
02/20/19,Sale,Sold 448.39 Units Of 448.39 -448.39 First Am Govt Ob Fd Cl X Trade Date 2/20/19 Transfer From Another Account,0.00
02/21/19,Purchase,"Purchased 59,515.61 Units Of -59,515.61 59,515.61 First Am Govt Ob Fd Cl X Trade Date 2/21/19 Nas Pass Through T Subs Rt 3/08/19 Valued At 8.62185 NOK For 0.00 USD Market Value Of 53,352.82 USD Ca Rights Distribution 7742123 Exdt 2/20/19",0.00
02/25/19,Purchase,"Purchased 50,348.34 Units Of -50,348.34 50,348.34 First Am Govt Ob Fd Cl X Trade Date 2/25/19","-50,348.34"
02/25/19,Sale,"Sold 400 Shares Of 50,348.34 -53,856.96 Ferrari Nv Trade Date 2/21/19 Sold Through J.P. Morgan Securities LLC Paid 4.00 USD Brokerage Paid 0.66 USD Sec Fee 400 Shares At 125.8825 USD Transfer From Another Account",0.00
02/26/19,Purchase,"Purchased 115,295.26 Units Of -115,295.26 115,295.26 First Am Govt Ob Fd Cl X Trade Date 2/26/19 16664 00- -A -UC-UZ -001-04","-85,524.44"
02/26/19,Sale,"Sold 2,000 Shares Of 85,524.44 -88,511.68 Basware Oyj Npv Net Proceeds 85,524.44 USD Trade Date 2/22/19 Sold Through Jpmsgb2l Jp Morgan Sec London Paid 42.78 USD Brokerage Book Value 66,563.54 EUR Local Proceeds 75,441.66 EUR Traded At 0.88210645 EUR To 1 USD Valued At 0.881251 EUR For 85,607.46 USD 2,000 Shares At 37.7397 EUR Transfer From Another Account",0.00
02/27/19,Purchase,"Purchased 30,915.61 Units Of -30,915.61 30,915.61 First Am Govt Ob Fd Cl X Trade Date 2/27/19 Transfer From Another Account",0.00
02/28/19,Sale,"Sold 40,492.98 Units Of 40,492.98 -40,492.98 First Am Govt Ob Fd Cl X Trade Date 2/28/19","46,188.60"
02/28/19,Purchase,"Purchased 2,000 Shares Of -46,188.60 46,179.01 Fancl Corp Net Cost 46,188.60 USD Trade Date 2/25/19 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 23.08 USD Brokerage Book Value 5,114,556 JPY Traded At 110.7319988 JPY To 1 USD Valued At 110.755 JPY For 46,179.01 USD 2,000 Shares At 2,556 JPY",0.00
03/01/19,Sale,"Sold 94,905.16 Units Of 94,905.16 -94,905.16 First Am Govt Ob Fd Cl X Trade Date 3/1/19","38,000.50"
03/01/19,Purchase,"Purchased 1,000 Shares Of -38,000.50 38,000.50 Line Corp A D R Trade Date 2/27/19 Purchased Through J.P. Morgan Securities LLC Paid 10.00 USD Brokerage 1,000 Shares At 37.9905 USD First Am Govt Ob Fd Cl X Interest From 2/1/19 To 2/28/19",0.00
03/04/19,Sale,"Sold 16,093.48 Units Of 16,093.48 -16,093.48 First Am Govt Ob Fd Cl X Trade Date 3/4/19",0.00
03/05/19,Sale,"Sold 3,664.51 Units Of 3,664.51 -3,664.51 First Am Govt Ob Fd Cl X Trade Date 3/5/19",0.00
03/06/19,Sale,"Sold 2,476.55 Units Of 2,476.55 -2,476.55 First Am Govt Ob Fd Cl X Trade Date 3/6/19 Transfer From Another Account",0.00
03/07/19,Purchase,"Purchased 4,330.05 Units Of -4,330.05 4,330.05 First Am Govt Ob Fd Cl X Trade Date 3/7/19",0.00
