Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
01/02/20,Purchase,"128,338.71",Units,First Am Govt Ob Fd Cl X,1/2/20,,,0.00
01/03/20,Purchase,"8,854.02",Units,First Am Govt Ob Fd Cl X,1/3/20,,,0.00
01/06/20,Purchase,"26,387.04",Units,First Am Govt Ob Fd Cl X,1/6/20,,,0.00
01/07/20,Purchase,"18,502.69",Units,First Am Govt Ob Fd Cl X,1/7/20,,,"17,014.85"
01/07/20,Purchase,"20,000",Shares,"Zoo Digital Group Net Cost 17,014.85 USD",1/3/20,Crst 784 Jpmorgan Secs Ltd,0.65 GBP,0.00
01/08/20,Sale,"215,137.1",Units,"215,137.10 -215,137.10 First Am Govt Ob Fd Cl X",1/8/20,,,"287,871.89"
01/08/20,Purchase,"80,000",Shares,"Zoo Digital Group Net Cost 70,672.81 USD",1/6/20,Crst 784 Jpmorgan Secs Ltd,0.6706 GBP,"217,199.08"
01/08/20,Purchase,"10,000",Shares,"Ushio Inc Net Cost 147,962.25 USD",1/6/20,Jpmsgb2l Jp Morgan Sec London,"1,598.51 JPY","69,236.83"
01/08/20,Purchase,"2,000",Shares,"Cyberagent Inc Npv Net Cost 69,236.83 USD",1/6/20,Jpmsgb2l Jp Morgan Sec London,"3,740 JPY",0.00
01/09/20,Sale,"182,138.72",Units,"182,138.72 -182,138.72 First Am Govt Ob Fd Cl X",1/9/20,,,"148,737.31"
01/09/20,Sale,"3,756.51",Units,"3,756.51 -3,756.51 First Am Govt Ob Fd Cl X",1/9/20,,,"152,493.82"
01/09/20,Purchase,"14,000",Shares,"Tomtom Net Cost 152,493.82 USD",1/7/20,Jpmsgb2l Jp Morgan Sec London,9.7379 EUR,0.00
01/10/20,Sale,407.2,Units,407.20 -407.20 First Am Govt Ob Fd Cl X,1/10/20,,,0.00
01/13/20,Purchase,"209,892.28",Units,First Am Govt Ob Fd Cl X,1/13/20,,,0.00
01/14/20,Purchase,"41,121.97",Units,First Am Govt Ob Fd Cl X,1/14/20,,,-60.00
01/14/20,Sale,"121,764.31",Units,"121,764.31 -121,764.31 First Am Govt Ob Fd Cl X",1/14/20,,,"121,704.31"
01/14/20,Sale,"92,450",Units,"92,450.00 -92,450.00 First Am Govt Ob Fd Cl X",1/14/20,,,"214,154.31"
01/14/20,Purchase,"1,000",Shares,"Capgemini Net Cost 121,764.31 USD",1/9/20,Jpmsgb2l Jp Morgan Sec London,109.22739292 EUR,"92,390.00"
01/14/20,Purchase,"5,000",Shares,Fanuc Corporation A D R,1/9/20,J.P. Morgan Securities LLC,18.48 USD,-60.00
01/15/20,Purchase,"29,530.29",Units,First Am Govt Ob Fd Cl X,1/15/20,,,0.00
01/16/20,Purchase,477.73,Units,First Am Govt Ob Fd Cl X,1/16/20,,110.23 JPY,"1,317.37"
01/21/20,Sale,"48,270.00",Units,437.90 -437.90 Yen,1/20/20,,110.23 JPY,"73,302.13"
01/21/20,Purchase,"63,002.13",Units,First Am Govt Ob Fd Cl X,1/21/20,,,"73,302.13"
01/21/20,Purchase,"72,426.33",Units,First Am Govt Ob Fd Cl X,1/21/20,,,875.80
01/22/20,Purchase,"107,470.09",Units,First Am Govt Ob Fd Cl X,1/22/20,,,"-97,899.39"
01/22/20,Sale,"5,000",Shares,"97,899.39 -118,795.47 Fevertree Drinks Plc Net Proceeds 97,899.39 USD",1/20/20,Crst 784 Jpmorgan Secs Ltd,15.0737 GBP,0.00
01/23/20,Purchase,"170,859.9",Units,First Am Govt Ob Fd Cl X,1/23/20,,,0.00
01/24/20,Purchase,"12,328.41",Units,First Am Govt Ob Fd Cl X,1/24/20,,,0.00
01/27/20,Sale,"5,472.6",Units,"5,472.60 -5,472.60 First Am Govt Ob Fd Cl X",1/27/20,,,"8,189.35"
01/27/20,Purchase,"3,000",Shares,"Hugo Boss Ag Net Cost 148,823.43 USD",1/23/20,Jpmsgb2leql Jp Morgan Eq Lndn,44.9207 EUR,"-140,634.08"
01/27/20,Sale,300,Shares,"140,634.08 -41,342.22 Shopify Inc A",1/23/20,J.P. Morgan Securities LLC,468.80 USD,0.00
01/28/20,Sale,"74,426.23",Units,"74,426.23 -74,426.23 First Am Govt Ob Fd Cl X",1/28/20,,,"241,236.43"
01/28/20,Purchase,"3,000",Shares,Materialise Nv A D R,1/24/20,J.P. Morgan Securities LLC,18.8698 USD,"184,597.03"
01/28/20,Purchase,"5,000",Shares,"Iqe Plc Net Cost 3,318.78 USD",1/24/20,Crst 784 Jpmorgan Secs Ltd,0.5075 GBP,"181,278.25"
01/28/20,Purchase,"20,000",Shares,"Boozt Ab Net Cost 103,114.87 USD",1/24/20,Jpmsgb2l Jp Morgan Sec London,49.3122 SEK,"78,163.38"
01/28/20,Purchase,"10,000",Shares,"Dustin Group Ab Net Cost 78,163.38 USD",1/24/20,Jpmsgb2l Jp Morgan Sec London,74.7595 SEK,0.00
01/29/20,Purchase,"208,629.27",Units,First Am Govt Ob Fd Cl X,1/29/20,,,"-196,116.73"
01/29/20,Sale,"4,000",Shares,"196,116.73 -152,428.05 Line Corp A D R",1/27/20,J.P. Morgan Securities LLC,49.0402 USD,0.00
01/30/20,Sale,"1,971.77",Units,"1,971.77 -1,971.77 First Am Govt Ob Fd Cl X",1/30/20,,,0.00
01/31/20,Sale,"260,657.56",Units,"260,657.56 -260,657.56 First Am Govt Ob Fd Cl X",1/31/20,,,"258,613.04"
01/31/20,Purchase,"4,000",Shares,"Monotaro Co Ltd First Section Net Cost 99,919.78 USD",1/29/20,Jpmsgb2l Jp Morgan Sec London,"2,724 JPY","158,693.26"
01/31/20,Purchase,"4,000",Shares,"Comture Corp Net Cost 91,635.31 USD",1/29/20,Jpmsgb2l Jp Morgan Sec London,"2,498.15 JPY","67,057.95"
01/31/20,Purchase,"2,500",Shares,"Thk Co Ltd Net Cost 67,057.95 USD",1/29/20,Jpmsgb2l Jp Morgan Sec London,"2,925 JPY",0.00
02/03/20,Purchase,"175,559.86",Units,First Am Govt Ob Fd Cl X,2/3/20,,,"-175,559.86"
02/03/20,Sale,"4,000",Shares,"175,559.86 -164,767.99 Moncler Spa Net Proceeds 175,559.86 USD",1/30/20,Jpmsgb2l Jp Morgan Sec London,39.8146 EUR,0.00
02/04/20,Purchase,"175,873.84",Units,First Am Govt Ob Fd Cl X,2/4/20,,,"-136,680.20"
02/04/20,Sale,"2,650",Shares,"136,680.20 -127,803.81 B H P Billiton Limited A D R",1/31/20,J.P. Morgan Securities LLC,51.5885 USD,0.00
02/05/20,Purchase,"93,600.12",Units,First Am Govt Ob Fd Cl X,2/5/20,,,0.00
02/06/20,Purchase,"5,766.64",Units,First Am Govt Ob Fd Cl X,2/6/20,,,0.00
02/07/20,Sale,"461,343.44",Units,"461,343.44 -461,343.44 First Am Govt Ob Fd Cl X",2/7/20,,,"469,606.44"
02/07/20,Purchase,"30,000",Shares,"Ds Smith Plc Net Cost 146,767.47 USD",2/5/20,Crst 784 Jpmorgan Secs Ltd,3.7446 GBP,"322,838.97"
