Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
01/03/22,Sale,"5,768.70",Units,638.69 -638.69 Swedish Krona,12/30/21,,9.032123 SEK,"-81,408.35"
01/03/22,Purchase,"506,029.27",Units,First Am Govt Ob Fd Cl X,1/3/22,,,"-564,249.89"
01/03/22,Sale,"5,000",Shares,"320,638.14 -339,772.61 Fnac Darty Net Proceeds 282,488.13 EUR",12/30/21,Jeffus33 Jefferies Jersey City,56.5825 EUR,"-243,611.75"
01/03/22,Sale,"10,000",Shares,"245,985.74 -232,800.00 Materialise Nv A D R",12/30/21,Jefferies LLC,24.6387 USD,"2,373.99"
01/03/22,Sale,"282,488.13",Units,"319,541.53 -320,638.14 Euro",12/31/21,,0.88404199 EUR,"321,915.52"
01/04/22,Sale,"506,029.27",Units,"506,029.27 -506,029.27 First Am Govt Ob Fd Cl X",1/4/22,,,"-540,936.23"
01/04/22,Sale,"45,000",Shares,"100,165.10 -113,669.12 Boku Inc Net Proceeds 74,273.42 GBP",12/30/21,Jeffgb2x Jefferies Intl London,1.653 GBP,"-440,771.13"
01/04/22,Sale,"10,000",Shares,"337,831.31 -319,627.14 Nordic Semiconductor Asa Net Proceeds 2,965,719.74 NOK",12/30/21,Parbfrpp Banque Paribas Fr,297.0175 NOK,"-102,939.82"
01/04/22,Sale,"74,273.42",Units,"100,450.80 -100,165.10 British Pound",12/31/21,,0.73940098 GBP,"-2,489.02"
01/04/22,Sale,"2,965,719.74",Units,"333,358.48 -337,831.31 Norwegian Krone",1/3/22,,8.89648807 NOK,"330,869.46"
01/05/22,Purchase,"244,253.24",Units,First Am Govt Ob Fd Cl X,1/5/22,,,"-352,389.12"
01/05/22,Sale,"3,000",Shares,"353,293.58 -339,857.71 Nidec Corp Net Proceeds 40,605,798 JPY",12/31/21,Jeffus33 Jefferies Jersey City,"13,555.59933333 JPY",904.46
01/05/22,Sale,"40,605,798.00",Units,"352,389.12 -353,293.58 Yen",12/31/21,,116.12 JPY,"353,293.58"
01/06/22,Purchase,"777,818.91",Units,First Am Govt Ob Fd Cl X,1/6/22,,,"-794,044.12"
01/06/22,Sale,"10,000",Shares,"212,028.31 -137,174.35 Watches Of Switzerland Group Net Proceeds 157,671.14 GBP",1/4/22,Parbfrpp Banque Paribas Fr,15.7909 GBP,"-582,015.81"
01/06/22,Sale,"5,000",Shares,"580,249.78 -307,401.92 Eurofins Scientific Net Proceeds 513,859.05 EUR",1/4/22,Parbfrpp Banque Paribas Fr,102.9262 EUR,"-1,766.03"
01/06/22,Sale,"157,671.14",Units,"213,399.30 -212,028.31 British Pound",1/5/22,,0.738855 GBP,"211,633.27"
01/06/22,Sale,"513,859.05",Units,"580,644.82 -580,249.78 Euro",1/5/22,,0.739073 GBP,"792,278.09"
01/07/22,Sale,"6,450.00",Units,"8,727.14 -8,727.15 British Pound",1/7/22,,0.739073 GBP,"17,454.29"
01/07/22,Purchase,"349,014.09",Units,First Am Govt Ob Fd Cl X,1/7/22,,,"-291,385.54"
01/07/22,Sale,"1,977",Shares,"115,731.26 -108,409.19 Vitec Software Group Ab B Sh Net Proceeds 1,055,260.81 SEK",1/4/22,Parbfrpp Banque Paribas Fr,534.5706 SEK,"-175,654.28"
01/07/22,Sale,"3,123",Shares,"184,299.80 -171,250.33 Vitec Software Group Ab B Sh Net Proceeds 1,672,990.61 SEK",1/5/22,Parbfrpp Banque Paribas Fr,536.5046 SEK,"8,645.52"
01/07/22,Sale,"1,055,260.81",Units,"116,277.49 -116,249.52 Swedish Krona",1/5/22,,9.07536626 SEK,"124,923.01"
01/07/22,Sale,"1,672,990.61",Units,"183,835.20 -183,781.54 Swedish Krona",1/5/22,,9.10049115 SEK,"308,758.21"
01/10/22,Sale,"3,299.84",Units,"3,299.84 -3,299.84 First Am Govt Ob Fd Cl X",1/10/22,,,0.00
01/11/22,Sale,"20,069.07",Units,"20,069.07 -20,069.07 First Am Govt Ob Fd Cl X",1/11/22,,115.38 JPY,0.00
01/12/22,Sale,"474,236.00",Units,"4,110.21 -4,110.21 Yen",1/11/22,,115.38 JPY,"8,220.42"
01/12/22,Sale,"1,347,717.33",Units,"1,347,717.33 -1,347,717.33 First Am Govt Ob Fd Cl X",1/12/22,,,"-1,082,105.86"
01/14/22,Purchase,"1,066,462.07",Units,First Am Govt Ob Fd Cl X,1/14/22,,,"-1,515,597.15"
01/14/22,Sale,"6,145",Shares,"34,782.35 -82,866.66 Raysearch Laboratories Ab Net Proceeds 315,964.57 SEK",1/12/22,Jeffus33 Jefferies Jersey City,51.4954 SEK,"-1,480,814.80"
01/14/22,Sale,"6,000",Shares,"515,302.69 -547,054.55 Dermapharm Hldg Net Proceeds 454,391.59 EUR",1/12/22,Jeffus33 Jefferies Jersey City,75.8457 EUR,"-965,512.11"
01/14/22,Sale,"25,000",Shares,"479,151.53 -700,043.53 Aston Martin Lagonda Gbl Hldgs Plc O Net Proceeds 352,174.94 GBP",1/12/22,Jeffgb2x Jefferies Intl London,14.1082 GBP,"-486,360.58"
01/14/22,Sale,"10,000",Shares,"475,971.26 -276,208.20 Future Plc Net Proceeds 349,837.45 GBP",1/12/22,Jeffgb2x Jefferies Intl London,35.0364 GBP,"-10,389.32"
01/14/22,Sale,"454,391.59",Units,"519,440.62 -515,302.69 Euro",1/12/22,,0.874771 EUR,"509,051.30"
01/14/22,Sale,"352,174.94",Units,"482,102.54 -479,151.53 British Pound",1/12/22,,0.730498 GBP,"991,153.84"
01/14/22,Sale,"349,837.45",Units,"478,763.08 -475,971.26 British Pound",1/12/22,,0.730711 GBP,"1,469,916.92"
01/14/22,Sale,"315,964.57",Units,"35,290.91 -34,782.35 Swedish Krona",1/12/22,,8.95314317 SEK,"1,505,207.83"
01/18/22,Sale,"1,066,462.07",Units,"1,066,462.07 -1,066,462.07 First Am Govt Ob Fd Cl X",1/18/22,,,"-597,449.65"
01/18/22,Sale,"4,574",Shares,"25,744.20 -56,409.98 Raysearch Laboratories Ab Net Proceeds 230,733.69 SEK",1/13/22,Jeffus33 Jefferies Jersey City,50.5204 SEK,"-571,705.45"
01/18/22,Sale,"12,025",Shares,"66,544.41 -127,405.18 Raysearch Laboratories Ab Net Proceeds 593,895.59 SEK",1/14/22,Jeffus33 Jefferies Jersey City,49.4626 SEK,"-505,161.04"
01/18/22,Sale,"230,733.69",Units,"25,776.14 -25,853.09 Swedish Krona",1/13/22,,8.95144463 SEK,"-479,384.90"
01/18/22,Sale,"593,895.59",Units,"65,675.10 -66,435.52 Swedish Krona",1/14/22,,9.04293393 SEK,"-413,709.80"
01/19/22,Purchase,"352,113.54",Units,First Am Govt Ob Fd Cl X,1/19/22,,,"-847,583.40"
01/19/22,Sale,"30,000",Shares,"287,479.54 -315,379.23 Rakuten Group Inc Net Proceeds 32,710,860 JPY",1/17/22,Jeffus33 Jefferies Jersey City,"1,092 JPY","-560,103.86"
01/19/22,Sale,"30,120",Shares,"477,732.74 -576,465.52 Cyberagent Inc Npv Net Proceeds 54,358,820 JPY",1/17/22,Jeffus33 Jefferies Jersey City,"1,807.45288845 JPY","-82,371.12"
01/19/22,Sale,"16,845",Shares,"89,373.08 -151,202.99 Raysearch Laboratories Ab Net Proceeds 804,053.86 SEK",1/17/22,Jeffus33 Jefferies Jersey City,47.8042 SEK,"7,001.96"
01/19/22,Sale,"54,358,820.00",Units,"474,004.36 -477,732.74 Yen",1/18/22,,114.67999999 JPY,"481,006.32"
01/19/22,Sale,"32,710,860.00",Units,"285,235.96 -287,479.54 Yen",1/18/22,,114.68000038 JPY,"766,242.28"
01/19/22,Sale,"804,053.86",Units,"88,343.08 -89,373.08 Swedish Krona",1/18/22,,9.10149227 SEK,"854,585.36"
01/20/22,Purchase,"78,478.57",Units,First Am Govt Ob Fd Cl X,1/20/22,,,"-52,095.33"
01/20/22,Sale,"10,280",Shares,"52,924.53 -72,441.01 Raysearch Laboratories Ab Net Proceeds 476,961.16 SEK",1/18/22,Jeffus33 Jefferies Jersey City,46.4667 SEK,829.20
01/20/22,Sale,"476,961.16",Units,"52,095.33 -52,924.53 Swedish Krona",1/18/22,,9.15554542 SEK,"52,924.53"
01/21/22,Purchase,"21,174.77",Units,First Am Govt Ob Fd Cl X,1/21/22,,,"-42,278.51"
01/21/22,Sale,"8,260",Shares,"42,277.57 -56,647.49 Raysearch Laboratories Ab Net Proceeds 385,009.16 SEK",1/19/22,Jeffus33 Jefferies Jersey City,46.68130024 SEK,-0.94
01/21/22,Sale,"385,009.16",Units,"42,278.51 -42,277.57 Swedish Krona",1/19/22,,9.10649784 SEK,"42,277.57"
01/24/22,Sale,"50,291.2",Units,"50,291.20 -50,291.20 First Am Govt Ob Fd Cl X",1/24/22,,,0.00
01/25/22,Purchase,"299,509.03",Units,First Am Govt Ob Fd Cl X,1/25/22,,,"-290,030.90"
01/25/22,Sale,"11,568",Shares,"58,926.08 -78,108.60 Raysearch Laboratories Ab Net Proceeds 536,660.43 SEK",1/21/22,Jeffus33 Jefferies Jersey City,46.46149983 SEK,"-231,104.82"
01/25/22,Sale,"2,879",Shares,"233,034.46 -211,011.70 Dermapharm Hldg Net Proceeds 205,352.88 EUR",1/21/22,Parbfrpp Banque Paribas Fr,71.43500174 EUR,"1,929.64"
01/25/22,Sale,"536,660.43",Units,"58,255.38 -58,926.08 Swedish Krona",1/21/22,,9.21220375 SEK,"60,185.02"
01/25/22,Sale,"205,352.88",Units,"231,775.52 -233,034.46 Euro",1/24/22,,0.885999 EUR,"291,960.54"
01/26/22,Purchase,"850,680.6",Units,First Am Govt Ob Fd Cl X,1/26/22,,,"-825,588.51"
01/26/22,Purchase,"25,092.09",Units,First Am Govt Ob Fd Cl X,1/26/22,,,"-850,680.60"
01/26/22,Sale,"100,000",Shares,"232,610.50 -219,601.51 Capital Counties Properties Plc Net Proceeds 171,611.19 GBP",1/24/22,Crst 871,1.7187 GBP,"-618,070.10"
01/26/22,Sale,"105,000",Shares,"230,216.32 -262,276.30 Boku Inc Net Proceeds 169,844.85 GBP",1/24/22,Crst 871,1.62 GBP,"-387,853.78"
01/26/22,Sale,"10,000",Shares,"173,748.63 -219,112.53 Boozt Ab Net Proceeds 1,594,621.47 SEK",1/24/22,Jeffus33 Jefferies Jersey City,159.7017 SEK,"-214,105.15"
01/26/22,Sale,"3,000",Shares,"219,441.01 -344,959.75 Zalando SE Net Proceeds 193,391.28 EUR",1/24/22,Jeffus33 Jefferies Jersey City,64.5606 EUR,"5,335.86"
01/26/22,Sale,"171,611.19",Units,"231,340.54 -232,610.51 British Pound",1/25/22,,0.74181201 GBP,"236,676.40"
01/26/22,Sale,"169,844.85",Units,"228,976.40 -230,216.31 British Pound",1/25/22,,0.74175701 GBP,"465,652.80"
01/26/22,Sale,"1,594,621.47",Units,"172,146.71 -173,748.63 Swedish Krona",1/25/22,,9.26315391 SEK,"637,799.51"
01/26/22,Sale,"193,391.28",Units,"218,216.95 -219,441.01 Euro",1/25/22,,0.886234 EUR,"856,016.46"
01/27/22,Purchase,"688,568.25",Units,First Am Govt Ob Fd Cl X,1/27/22,,,"-710,788.71"
01/27/22,Sale,"43,296.97",Units,"43,296.97 -43,296.97 First Am Govt Ob Fd Cl X",1/27/22,,,"-667,491.74"
01/27/22,Sale,"2,000",Shares,"171,945.14 -172,601.01 Advantest Corp Ord(Jp) Net Proceeds 19,590,570 JPY",1/25/22,Jeffus33 Jefferies Jersey City,"9,810 JPY","-495,546.60"
01/27/22,Sale,"5,000",Shares,"210,111.36 -269,411.32 Mercari Inc Net Proceeds 23,939,038 JPY",1/25/22,Jeffus33 Jefferies Jersey City,"4,795 JPY","-285,435.24"
01/27/22,Sale,"1,000",Shares,"285,698.86 -335,209.28 Disco Corporation Net Proceeds 32,551,100 JPY",1/25/22,Jeffus33 Jefferies Jersey City,"32,600 JPY",263.62
01/27/22,Sale,"23,939,038.00",Units,"210,028.41 -210,111.36 Yen",1/25/22,,113.97999918 JPY,"210,292.03"
01/27/22,Sale,"32,551,100.00",Units,"285,586.07 -285,698.86 Yen",1/25/22,,113.97999909 JPY,"495,878.10"
01/27/22,Sale,"19,590,570.00",Units,"171,877.26 -171,945.14 Yen",1/25/22,,113.97999945 JPY,"667,755.36"
01/28/22,Sale,"46,527.52",Units,"46,527.52 -46,527.52 First Am Govt Ob Fd Cl X",1/28/22,,,0.00
01/28/22,Sale,"10,000",Shares,"22,114.52 -24,079.15 Boku Inc Net Proceeds 16,385.38 GBP",12/31/21,Jeffgb2x Jefferies Intl London,1.641 GBP,"22,114.52"
01/31/22,Sale,"378,845.29",Units,"378,845.29 -378,845.29 First Am Govt Ob Fd Cl X",1/31/22,,,"-21,911.53"
01/31/22,Sale,"16,385.38",Units,"21,911.53 -22,114.52 British Pound",1/28/22,,0.74779716 GBP,0.00
02/01/22,Sale,"391,947.47",Units,"391,947.47 -391,947.47 First Am Govt Ob Fd Cl X",2/1/22,,,"469,721.46"
02/01/22,Purchase,"417,744.43",Units,Euro,1/31/22,,1 EUR,0.00
02/01/22,Purchase,"10,000",Shares,"Orpea Net Cost 417,744.43 EUR",1/28/22,Parbfrpp Banque Paribas Fr,8.4001 SEK,"-465,743.23"
02/01/22,Sale,"14,447",Shares,"75,741.33 -162,778.21 Raysearch Laboratories Ab Net Proceeds 690,132.29 SEK",1/20/22,Jeffus33 Jefferies Jersey City,47.8417 SEK,"-390,001.90"
02/01/22,Sale,"16,056",Shares,"76,282.24 -176,910.95 Raysearch Laboratories Ab Net Proceeds 700,099.34 SEK",1/24/22,Jeffus33 Jefferies Jersey City,9.3341 SEK,"-313,719.66"
02/02/22,Sale,"64,905.39",Units,"64,905.39 -64,905.39 First Am Govt Ob Fd Cl X",2/2/22,,,"-39,313.36"
02/02/22,Purchase,100,Shares,Mercadolibre Inc,1/31/22,Jefferies LLC,"1,106.01 USD","-149,918.36"
02/02/22,Sale,"690,132.29",Units,"74,415.30 -75,741.33 Swedish Krona",2/1/22,,9.27406447 SEK,"-75,503.06"
02/02/22,Sale,"700,099.34",Units,"75,503.06 -76,282.24 Swedish Krona",2/1/22,,9.27246313 SEK,0.00
02/03/22,Sale,,,"72,524.54 -72,524.54 Mister Spex SE Npv Net Proceeds 64,696.28 EUR",2/1/22,Parbdeff Bnp Paribas Frankfurt,10.57099984 EUR,"72,524.54"
02/03/22,Purchase,"4,657",Shares,"Mister Spex SE Npv Net Cost 49,302.99 EUR",2/1/22,Parbdeff Bnp Paribas Frankfurt,10.57100064 EUR,"17,255.88"
02/03/22,Sale,"94,681.34",Units,"94,681.34 -94,681.34 First Am Govt Ob Fd Cl X",2/3/22,,,"90,254.43"
02/03/22,Purchase,"64,696.28",Units,Euro,2/1/22,,1 EUR,"17,255.88"
02/03/22,Purchase,"6,111",Shares,"Mister Spex SE Npv Net Cost 64,696.28 EUR",2/1/22,Parbdeff Bnp Paribas Frankfurt,10.57099984 EUR,"-55,268.66"
02/03/22,Purchase,"1,454",Shares,"Mister Spex SE Npv Net Cost 15,393.29 EUR",2/1/22,Parbdeff Bnp Paribas Frankfurt,10.571 EUR,"-72,524.54"
02/04/22,Sale,"441,429.96",Units,"441,429.96 -441,429.96 First Am Govt Ob Fd Cl X",2/4/22,,,"460,308.61"
02/04/22,Purchase,"200,688.31",Units,Euro,2/3/22,,1 EUR,"233,505.00"
02/04/22,Purchase,200,Shares,Mercadolibre Inc,2/2/22,Jefferies LLC,"1,167.485 USD",0.00
02/04/22,Purchase,"18,889",Shares,"Mister Spex SE Npv Net Cost 200,688.31 EUR",2/2/22,Parbfrpp Banque Paribas Fr,10.6087 EUR,"-225,754.26"
02/07/22,Sale,"263,822.49",Units,"263,822.49 -263,822.49 First Am Govt Ob Fd Cl X",2/7/22,,0.87768615 EUR,0.00
02/08/22,Sale,"3,575.00",Units,"4,073.21 -4,073.21 Euro",2/8/22,,0.87768615 EUR,"8,146.42"
02/08/22,Purchase,"4,785.45",Units,First Am Govt Ob Fd Cl X,2/8/22,,,"4,073.21"
02/09/22,Purchase,"34,996.54",Units,First Am Govt Ob Fd Cl X,2/9/22,,0.73891 GBP,0.00
02/10/22,Sale,"1,124.20",Units,"1,521.43 -1,521.43 British Pound",2/9/22,,0.73891 GBP,"3,042.86"
02/10/22,Sale,"75,027.63",Units,"75,027.63 -75,027.63 First Am Govt Ob Fd Cl X",2/10/22,,,"-151,002.13"
02/10/22,Purchase,"162,397.53",Units,Euro,2/8/22,,1 EUR,"-336,661.90"
02/10/22,Purchase,"485,395.28",Units,Swedish Krona,2/9/22,,1 SEK,"-390,087.14"
02/10/22,Sale,"10,100",Shares,"175,760.42 -332,106.42 Ocado Group Plc Net Proceeds 129,889.85 GBP",2/8/22,Jeffgb2x Jefferies Intl London,12.8798 GBP,"-214,326.72"
02/10/22,Sale,"100,000",Shares,"217,528.97 -292,443.21 Learning Technologies Group Net Proceeds 160,757.50 GBP",2/8/22,Jeffgb2x Jefferies Intl London,1.61 GBP,"3,202.25"
02/10/22,Purchase,100,Shares,"Adyen Bv Net Cost 162,397.53 EUR",2/8/22,Parbfrpp Banque Paribas Fr,"1,621.543 EUR","-182,669.91"
02/10/22,Purchase,"13,809",Shares,"Tobii Ab Net Cost 485,395.28 SEK",2/8/22,Parbfrpp Banque Paribas Fr,35.09799986 SEK,"-235,895.99"
02/10/22,Sale,"129,889.85",Units,"175,682.09 -175,760.42 British Pound",2/8/22,,0.739346 GBP,"-60,213.90"
02/10/22,Sale,"160,757.50",Units,"217,447.91 -217,528.97 British Pound",2/8/22,,0.739292 GBP,"157,234.01"
02/11/22,Sale,"17,229.2",Units,"17,229.20 -17,229.20 First Am Govt Ob Fd Cl X",2/11/22,,,"62,140.15"
02/11/22,Purchase,"571,459.12",Units,Swedish Krona,2/10/22,,1 SEK,0.00
02/11/22,Purchase,"16,191",Shares,"Tobii Ab Net Cost 571,459.12 SEK",2/9/22,Parbfrpp Banque Paribas Fr,35.24199988 SEK,"-62,371.05"
02/14/22,Purchase,"64,981.84",Units,First Am Govt Ob Fd Cl X,2/14/22,,,0.00
02/15/22,Purchase,"13,772.54",Units,First Am Govt Ob Fd Cl X,2/15/22,,,0.00
02/16/22,Purchase,"2,405.75",Units,First Am Govt Ob Fd Cl X,2/16/22,,,0.00
02/17/22,Purchase,"21,110.92",Units,First Am Govt Ob Fd Cl X,2/17/22,,,0.00
02/18/22,Purchase,"77,087.91",Units,First Am Govt Ob Fd Cl X,2/18/22,,,0.00
02/22/22,Sale,"666,753.34",Units,"666,753.34 -666,753.34 First Am Govt Ob Fd Cl X",2/22/22,,,"-519,028.90"
