Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
04/04/18,Purchase,"94,626.51",Units,First Am Govt Ob Fd Cl X,4/4/18,,,"5,373.49"
04/04/18,Purchase,300,Shares,Blackberry Ltd,4/2/18,J.P. Morgan Securities LLC,10.7283 USD,"2,152.00"
04/04/18,Purchase,400,Shares,Nokia Corp Spon A D R,4/2/18,J.P. Morgan Securities LLC,5.37 USD,0.00
04/05/18,Sale,"12,038.92",Units,"12,038.92 -12,038.92 First Am Govt Ob Fd Cl X",4/5/18,,,"12,038.92"
04/05/18,Purchase,"1,840.54",Units,Euro,4/4/18,,1 EUR,"9,768.59"
04/05/18,Purchase,"1,314.66",Units,Euro,4/4/18,,1 EUR,"8,146.94"
04/05/18,Purchase,"1,956.58",Units,Swiss Franc,4/4/18,,1 CHF,"6,101.50"
04/05/18,Purchase,20,Shares,Shopify Inc A,4/3/18,J.P. Morgan Securities LLC,120.91 USD,"3,683.10"
04/05/18,Purchase,100,Shares,Fanuc Corporation A D R,4/3/18,J.P. Morgan Securities LLC,24.70 USD,"1,212.10"
04/05/18,Purchase,10,Shares,Ferrari Nv,4/3/18,J.P. Morgan Securities LLC,121.20 USD,0.00
04/05/18,Purchase,20,Shares,"Ams Ag Net Cost 1,956.58 CHF",4/3/18,Jpmsgb2l Jp Morgan Sec London,97.78 CHF,"-2,048.88"
04/05/18,Purchase,150,Shares,"Biocartis Nv Net Cost 1,840.54 EUR",4/3/18,Jpmsgb2l Jp Morgan Sec London,12.2641 EUR,"-4,314.49"
04/05/18,Purchase,20,Shares,"Ucb Sa Net Cost 1,314.66 EUR",4/3/18,Jpmsgb2l Jp Morgan Sec London,65.7 EUR,"-5,932.77"
04/06/18,Sale,"13,803.95",Units,"13,803.95 -13,803.95 First Am Govt Ob Fd Cl X",4/6/18,,,"13,803.95"
04/06/18,Purchase,"1,242.62",Units,Euro,4/4/18,,1 EUR,"12,271.29"
04/06/18,Purchase,"21,010.50",Units,Norwegian Krone,4/4/18,,1 NOK,"9,578.49"
04/06/18,Purchase,"12,058.63",Units,Swedish Krona,4/4/18,,1 SEK,"8,139.48"
04/06/18,Purchase,60,Shares,Asml Holding Nv Ny Reg Shs,4/4/18,J.P. Morgan Securities LLC,193.72 USD,"-3,484.32"
04/06/18,Purchase,30,Shares,Nintendo Co Ltd Unspons A D R,4/4/18,J.P. Morgan Securities LLC,52.90 USD,"-5,071.62"
04/06/18,Purchase,100,Shares,Pandora A S Sponsored A D R,4/4/18,J.P. Morgan Securities LLC,26.64 USD,"-7,736.62"
04/06/18,Sale,40,Shares,"7,736.62 -7,749.20 Asml Holding Nv Ny Reg Shs",4/4/18,J.P. Morgan Securities LLC,193.43 USD,0.00
04/06/18,Purchase,100,Shares,"Raysearch Laboratories Ab Net Cost 12,058.63 SEK",4/4/18,Jpmsgb2l Jp Morgan Sec London,120.526 SEK,"-1,440.68"
04/06/18,Purchase,100,Shares,"Schibsted Asa A-Shares Net Cost 21,010.50 NOK",4/4/18,Jpmsgb2l Jp Morgan Sec London,210 NOK,"-4,122.88"
04/06/18,Purchase,30,Shares,"Umicore Net Cost 1,242.62 EUR",4/4/18,Jpmsgb2l Jp Morgan Sec London,41.4 EUR,"-5,648.07"
04/09/18,Sale,"50,713.34",Units,"50,713.34 -50,713.34 First Am Govt Ob Fd Cl X",4/9/18,,,"50,713.34"
04/09/18,Purchase,"16,358.18",Units,Swedish Krona,4/5/18,,1 SEK,"48,766.62"
