Date Posted,Activity,Description,Principal Cash
04/06/18,Purchase,"Purchased 100 Shares Of -1,440.68 1,440.68 Raysearch Laboratories Ab Net Cost 12,058.63 SEK Trade Date 4/4/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 6.03 SEK Brokerage Book Value 12,058.63 SEK Valued At 8.3701 SEK For 1,440.68 USD Fed Tax Cost Reduction 1,439.01- USD Fed ST Currency Gain Of 1.67 USD 100 Shares At 120.526 SEK","-1,440.68"
04/06/18,Purchase,"Purchased 100 Shares Of -2,682.20 2,682.20 Schibsted Asa A-Shares Net Cost 21,010.50 NOK Trade Date 4/4/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 10.50 NOK Brokerage Book Value 21,010.50 NOK Valued At 7.8333 NOK For 2,682.20 USD Fed Tax Cost Reduction 2,692.80- USD Fed ST Currency Loss Of 10.60- USD 100 Shares At 210 NOK","-4,122.88"
04/06/18,Purchase,"Purchased 30 Shares Of -1,525.19 1,525.19 Umicore Net Cost 1,242.62 EUR Trade Date 4/4/18 Purchased Through Jpmsgb2l Jp Morgan Sec London Paid 0.62 EUR Brokerage Book Value 1,242.62 EUR Valued At 0.81473 EUR For 1,525.19 USD Fed Tax Cost Reduction 1,532.66- USD Fed ST Currency Loss Of 7.47- USD 30 Shares At 41.4 EUR -12,058.63 Swedish Krona 99999SEK5 -21,010.50 Norwegian Krone 99999NOK5","-5,648.07"
04/09/18,Sale,"Sold 50,713.34 Units Of 50,713.34 -50,713.34 First Am Govt Ob Fd Cl X Trade Date 4/9/18","50,713.34"
04/09/18,Purchase,"Purchased 16,358.18 Units Of -1,946.72 1,946.72 Swedish Krona Trade Date 4/5/18 Value Date 4/9/18 Book Value 16,358.18 SEK Traded At 8.40294444 SEK To 1 USD Valued At 8.40294444 SEK For 1,946.72 USD Net Cost 1,946.72 USD 16,358.18 Units At 1 SEK Fx5593050","48,766.62"
04/09/18,Purchase,"Purchased 21,760.88 Units Of -2,589.70 2,589.70 Swedish Krona Trade Date 4/5/18 Value Date 4/9/18 Book Value 21,760.88 SEK Traded At 8.40285747 SEK To 1 USD Valued At 8.40285747 SEK For 2,589.70 USD Net Cost 2,589.70 USD 21,760.88 Units At 1 SEK Fx5593048","46,176.92"
04/09/18,Purchase,"Purchased 22,901.45 Units Of -2,724.37 2,724.37 Swedish Krona Trade Date 4/5/18 Value Date 4/9/18 Book Value 22,901.45 SEK Traded At 8.40614527 SEK To 1 USD Valued At 8.40614527 SEK For 2,724.37 USD Net Cost 2,724.37 USD 22,901.45 Units At 1 SEK Fx5593051","43,452.55"
04/09/18,Purchase,"Purchased 20,130.06 Units Of -2,393.89 2,393.89 Swedish Krona Trade Date 4/5/18 Value Date 4/9/18 Book Value 20,130.06 SEK Traded At 8.40893274 SEK To 1 USD Valued At 8.40893274 SEK For 2,393.89 USD Net Cost 2,393.89 USD 20,130.06 Units At 1 SEK Fx5593155","41,058.66"
04/09/18,Purchase,"Purchased 3,136.57 Units Of -3,857.21 3,857.21 Euro Trade Date 4/6/18 Value Date 4/9/18 Book Value 3,136.57 EUR Traded At 0.81317066 EUR To 1 USD Valued At 0.81317066 EUR For 3,857.21 USD Net Cost 3,857.21 USD 3,136.57 Units At 1 EUR Fx5594370","37,201.45"
04/09/18,Purchase,"Purchased 2,109.05 Units Of -2,594.04 2,594.04 Euro Trade Date 4/6/18 Value Date 4/9/18 Book Value 2,109.05 EUR Traded At 0.81303681 EUR To 1 USD Valued At 0.81303681 EUR For 2,594.04 USD Net Cost 2,594.04 USD 2,109.05 Units At 1 EUR Fx5594372","34,607.41"
04/09/18,Purchase,"Purchased 2,674.01 Units Of -3,288.38 3,288.38 Euro Trade Date 4/6/18 Value Date 4/9/18 Book Value 2,674.01 EUR Traded At 0.8131694 EUR To 1 USD Valued At 0.8131694 EUR For 3,288.38 USD Net Cost 3,288.38 USD 2,674.01 Units At 1 EUR Fx5594381","31,319.03"
04/09/18,Purchase,"Purchased 1,488.43 Units Of -1,830.11 1,830.11 Euro Trade Date 4/6/18 Value Date 4/9/18 Book Value 1,488.43 EUR Traded At 0.81330084 EUR To 1 USD Valued At 0.81330084 EUR For 1,830.11 USD Net Cost 1,830.11 USD 1,488.43 Units At 1 EUR Fx5594382","29,488.92"
