Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
01/04/21,Purchase,"25,695.99",Units,First Am Govt Ob Fd Cl X,1/4/21,,,0.00
01/05/21,Purchase,"4,256.31",Units,First Am Govt Ob Fd Cl X,1/5/21,,,0.00
01/06/21,Purchase,"21,030.69",Units,First Am Govt Ob Fd Cl X,1/6/21,,,0.00
01/07/21,Sale,"183,134.89",Units,"183,134.89 -183,134.89 First Am Govt Ob Fd Cl X",1/7/21,,,0.00
01/08/21,Purchase,"6,828.52",Units,First Am Govt Ob Fd Cl X,1/8/21,,,0.00
01/11/21,Purchase,"82,311.73",Units,First Am Govt Ob Fd Cl X,1/11/21,,,0.00
01/12/21,Purchase,"374,323.2",Units,First Am Govt Ob Fd Cl X,1/12/21,,,"-349,316.40"
01/12/21,Sale,"4,500",Shares,"351,770.72 -64,594.09 Materialise Nv A D R",1/8/21,J.P. Morgan Securities LLC,78.183 USD,"2,454.32"
01/13/21,Purchase,"304,906.19",Units,First Am Govt Ob Fd Cl X,1/13/21,,,"-307,914.91"
01/13/21,Sale,"2,454.32",Units,"2,454.32 -2,454.32 First Am Govt Ob Fd Cl X",1/13/21,,,"-305,460.59"
01/13/21,Sale,"13,093",Shares,"305,460.59 -293,130.01 Ams Ag Net Proceeds 305,460.59 USD",1/11/21,Jpmsgb2l Jp Morgan Sec London,20.80500038 CHF,0.00
01/14/21,Purchase,"8,056.65",Units,First Am Govt Ob Fd Cl X,1/14/21,,,"2,133.70"
01/15/21,Purchase,,,"Ams Ag Net Cost 305,460.59 USD",1/11/21,Jpmsgb2l Jp Morgan Sec London,20.80500038 CHF,"-303,326.89"
01/15/21,Purchase,"9,152.88",Units,First Am Govt Ob Fd Cl X,1/15/21,,,"-305,460.59"
01/15/21,Sale,"13,093",Shares,"305,460.59 -305,460.59 Ams Ag Net Proceeds 305,460.59 USD",1/11/21,Jpmsgb2l Jp Morgan Sec London,20.80500038 CHF,0.00
01/19/21,Sale,"187,560.34",Units,"187,560.34 -187,560.34 First Am Govt Ob Fd Cl X",1/19/21,,,"192,619.73"
01/19/21,Purchase,"10,000",Shares,"Gvc Holdings Plc Net Cost 192,619.73 USD",1/15/21,Crst 871,14.1546 GBP,0.00
01/20/21,Sale,"51,007.24",Units,"51,007.24 -51,007.24 First Am Govt Ob Fd Cl X",1/20/21,,,"83,047.82"
01/20/21,Purchase,"5,000",Shares,"Uuum Inc Net Cost 83,006.32 USD",1/18/21,Jpmsgb2l Jp Morgan Sec London,"1,722.68 JPY",41.50
01/20/21,Purchase,,,,,,103.905 JPY,0.00
01/21/21,Purchase,"290,615.42",Units,First Am Govt Ob Fd Cl X,1/21/21,,,"-293,654.16"
01/21/21,Sale,"3,098",Shares,"73,093.50 -91,371.08 Slm Solutions Group Ag Net Proceeds 73,093.50 USD",1/19/21,Jpmsgb2leql Jp Morgan Eq Lndn,19.46979987 EUR,"-220,560.66"
01/21/21,Sale,"118,839",Shares,"220,560.66 -306,566.14 Capital Counties Properties Plc Net Proceeds 220,560.66 USD",1/19/21,Crst 871,1.36500004 GBP,0.00
01/22/21,Sale,163.02,Units,163.02 -163.02 First Am Govt Ob Fd Cl X,1/22/21,,,"38,273.00"
01/22/21,Sale,"260,501.18",Units,"260,501.18 -260,501.18 First Am Govt Ob Fd Cl X",1/22/21,,,"298,774.18"
01/22/21,Sale,0.8,Units,0.80 -0.80 First Am Govt Ob Fd Cl X,1/22/21,,,"298,774.98"
