Date Posted,Activity,Quantity,Unit Type,Asset Name,Trade Date,Broker,Price Per Unit,Principal Cash
03/11/19,Sale,950,Shares,"55,628.18 -60,816.24 Stroeer SE and Co Kgaa Net Proceeds 55,628.18 USD",3/7/19,Jpmsgb2leql Jp Morgan Eq Lndn,51.8032 EUR,0.00
03/12/19,Sale,"143,432.71",Units,"143,432.71 -143,432.71 First Am Govt Ob Fd Cl X",3/12/19,,,"143,432.71"
03/12/19,Purchase,400,Shares,"Nidec Corp Net Cost 48,222.91 USD",3/7/19,Jpmsgb2l Jp Morgan Sec London,"13,460.00000007 JPY","95,209.80"
03/12/19,Purchase,"1,000",Shares,"Uuum Inc Net Cost 49,530.59 USD",3/7/19,Jpmsgb2l Jp Morgan Sec London,"5,530 JPY","45,679.21"
03/12/19,Purchase,"1,500",Shares,"Comture Corp Net Cost 45,679.21 USD",3/7/19,Jpmsgb2l Jp Morgan Sec London,"3,400 JPY",0.00
03/13/19,Purchase,"4,600",Shares,"Norwegian Air Shut Net Cost 151,800.00 NOK",3/13/19,"Global Corporate Actions Book Value 151,800.00 NOK Valued At 8.63675 NOK For 17,576.06 USD Fed Tax Cost Reduction 17,576.06- USD 4,600 Shares At 33 NOK Ca Rights Exercise Bjp0wq3 16664 00- -A -UC-UZ -001-04",33 NOK,"-17,576.06"
03/13/19,Purchase,"151,800.00",Units,Norwegian Krone,3/13/19,"Bny-Mellon Foreign Exchange Book Value 151,800.00 NOK Traded At 8.66191155 NOK To 1 USD Valued At 8.66191155 NOK For 17,525.00 USD Net Cost 17,525.00 USD Repayment Of Currency Overdraft Resulted In Fed ST Currency Gain On NOK Of 51.06 USD 151,800 Units At 1 NOK Ca Rights Exercise Bjp0wq3 Nas Pass Through T Subs Rt 3/08/19 Pay From Acct On Corp Action Valued At 1.00 NOK For 0.00 USD Market Value Of 140,300.00 USD Ca Rights Exercise Bjp0wq3",1.00 NOK,"-35,101.06"
03/13/19,Sale,"22,511.63",Units,"22,511.63 -22,511.63 First Am Govt Ob Fd Cl X",3/13/19,,,"-17,576.06"
03/14/19,Sale,"11,131.47",Units,"11,131.47 -11,131.47 First Am Govt Ob Fd Cl X",3/14/19,,,0.00
03/14/19,Sale,"59,283.82",Units,"59,283.82 -59,283.82 First Am Govt Ob Fd Cl X",3/14/19,,,"59,283.82"
03/14/19,Purchase,"2,500",Shares,"Monotaro Co Ltd First Section Net Cost 59,283.82 USD",3/5/19,Jpmsgb2l Jp Morgan Sec London,"2,653 JPY",0.00
03/15/19,Purchase,"50,203.39",Units,First Am Govt Ob Fd Cl X,3/15/19,,,"-50,601.73"
03/15/19,Sale,"5,428",Shares,"50,601.73 -49,156.65 Dustin Group Ab Net Proceeds 50,601.73 USD",3/13/19,Jpmsgb2l Jp Morgan Sec London,111.55 JPY,0.00
03/18/19,Sale,"48,270.00",Units,432.72 -432.72 Yen,3/18/19,,111.55 JPY,"1,212.53"
03/19/19,Purchase,779.81,Units,First Am Govt Ob Fd Cl X,3/19/19,,,0.00
03/20/19,Purchase,"67,752.05",Units,First Am Govt Ob Fd Cl X,3/20/19,,,0.00
03/21/19,Purchase,"2,519.58",Units,First Am Govt Ob Fd Cl X,3/21/19,,,0.00
03/22/19,Sale,701.84,Units,701.84 -701.84 First Am Govt Ob Fd Cl X,3/22/19,,,0.00
03/22/19,Sale,"50,060.34",Units,"50,060.34 -50,060.34 First Am Govt Ob Fd Cl X",3/22/19,,,"50,060.34"
