month,sect_wt_business_services,sect_wt_consumer_cyclicals,sect_wt_consumer_non_cyclicals,sect_wt_consumer_services,sect_wt_finance,sect_wt_healthcare,sect_wt_industrials,sect_wt_non_energy_materials,sect_wt_technology,ctry_wt_AT,ctry_wt_AU,ctry_wt_BE,ctry_wt_CA,ctry_wt_DE,ctry_wt_DK,ctry_wt_FI,ctry_wt_FR,ctry_wt_GB,ctry_wt_IL,ctry_wt_IT,ctry_wt_JP,ctry_wt_NL,ctry_wt_NO,ctry_wt_SE,top_sector,top_sector_wt,sector_hhi,wt_classified_sector,wt_classified_country,n_sectors,n_countries,ctry_wt_CH,ctry_wt_CN,ctry_wt_TW,ctry_wt_IE,ctry_wt_MX,ctry_wt_US,ctry_wt_UY,ctry_wt_AR,ctry_wt_ES,sect_wt_energy
2018-04,0.04762555002665517,0.17865813567014638,0.004708131528702948,0.029963844979003736,0.06005500312966024,0.08876035525146075,0.14292877753982705,0.07675131157641923,0.3705488902981245,0.024301138877328512,0.026978207708828632,0.1180417044431203,0.11070298344006718,0.09720130275577783,0.013084119554527979,0.16463606073821593,0.05400377439398289,0.1253315633657627,0.03712821735243633,0.06923670057077234,0.0393332272701877,0.09515588956978954,0.010085296404710503,0.014779813554491617,Technology,0.3705488902981245,0.21021780440906165,1.0,1.0,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05,0.07941190079429249,0.17428323149054661,0.003464780737125604,0.06581166457474484,0.08543243008012992,0.12963198859888914,0.11967830733736062,0.09480060710661589,0.2474850892802948,0.0217901499062166,0.027246809451423607,0.12378985815776518,0.13387708694623818,0.11194564557124302,0.012802371841156991,0.05126250684614154,0.05313847334413757,0.16419402444851067,0.0442763556170129,0.0981466494360242,0.04190547157544073,0.03261675662991376,0.009272071944264881,0.01551489916560685,Technology,0.2474850892802948,0.1496861490146981,1.0,1.0,9,17,0.02771387676222878,0.030506992356674482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,0.0864835342022029,0.17929946633513202,0.002627374777808371,0.056455730187438866,0.08099409395706393,0.12784570657961775,0.11111284850700409,0.07681054481939711,0.2783707006343349,0.03957208256432594,0.021920000413894646,0.09934104440467509,0.11248844385044039,0.11319420365652852,0.013143551640974185,0.04567811167153309,0.04841481471526589,0.16099484016672894,0.05352524262900956,0.11683353359144373,0.05502041447241394,0.039442134136252055,0.00831850933472039,0.018852809859113855,Technology,0.2783707006343349,0.16146259270259766,1.0,1.0,9,17,0.020566146553037557,0.03269411633964218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-07,0.08416818020436824,0.16833222197613237,0.0028051416712339384,0.05456661762861118,0.07621151343674477,0.1277080320346135,0.12375165098369005,0.07520505274414867,0.2872515893204573,0.03678628994648531,0.021710691151855317,0.09852920322901444,0.11703412311330902,0.10721950750001254,0.013200129050442938,0.04250727765014539,0.048374813190400746,0.15575654578376624,0.054344708334137376,0.11163910958961207,0.06280965628311055,0.031789674759457404,0.008168174444056832,0.020126494828870183,Technology,0.2872515893204573,0.16400668696660053,1.0,1.0,9,17,0.03723135703889354,0.032772244106430176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0.0782530217382173,0.152316240011469,0.020553726305359465,0.0512218743844208,0.08645582049663582,0.12922526986696972,0.11790812198455203,0.0447889546383908,0.31927697057398513,0.038622542286388534,0.01867521193507405,0.10171790527256856,0.1154625284006391,0.09289551163136463,0.010862692647399527,0.07145899231803528,0.04505346734753648,0.14384966534955684,0.03671559483173242,0.10327566600647269,0.08530340850550529,0.04781618360061627,0.0077452672620867006,0.015010554529241722,Technology,0.31927697057398513,0.17438984735924523,1.0,1.0,9,17,0.03723255336719816,0.028302254708583857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,0.07217566745123667,0.13908369159715464,0.02031736163612469,0.056260927342953085,0.13588710499591874,0.1350220652790847,0.11102453411473229,0.04505835575514137,0.28517029182765385,0.02685244987876038,0.019206640884823285,0.09973553244164404,0.12640660233543347,0.05990527301738047,0.010748431627100076,0.07281305638692194,0.045484934087541194,0.17835363563024786,0.028578391401201286,0.09964605976530695,0.0828031180959563,0.06795737532468028,0.007809145246665334,0.014441704346680666,Technology,0.28517029182765385,0.1605067487258868,1.0,1.0,9,17,0.03372890443121288,0.025528745098443613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10,0.07021501308208436,0.13947253156440154,0.0204169644409681,0.04987136478905992,0.12652789177989848,0.12320725294501861,0.13707583293429235,0.05793356047394323,0.2752795879903334,0.019448640945736277,0.019118491567530375,0.09827172149120517,0.1161433772175057,0.05601748293537519,0.01112609766468797,0.06804414079862894,0.043843452350388105,0.19750640481179363,0.03158250757685955,0.09585018036489387,0.07664964102016367,0.062117768555862256,0.0069846042323190105,0.014722223582681045,Technology,0.2752795879903334,0.1564010081304768,1.0,1.0,9,18,0.04575931054211199,0.022474521121994495,0.014339433220262753,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11,0.07559497124296981,0.13310140072940377,0.023660374056066028,0.04365685674981491,0.12093199671041836,0.12091211499533847,0.1418854103328613,0.05461259921828153,0.2856442759648457,0.014410036619524804,0.018879876332027107,0.09838231231170934,0.1176430740035727,0.05254610349064534,0.009909091582858735,0.08119159028441754,0.04983000006547215,0.18133669219252055,0.032635586977332834,0.09461021464764995,0.08240398159661065,0.05841731165484298,0.00725817609015654,0.013227018191806193,Technology,0.2856442759648457,0.15984726242629815,1.0,1.0,9,18,0.045481877073409255,0.027292943611386022,0.01454411327405728,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,0.06723274581010032,0.11483770977537315,0.021673502408124587,0.06064716331169875,0.10329118961990742,0.11970447661587108,0.12294061890320104,0.058567440170537145,0.3311051533851866,0.020798651020985826,0.02270114545927991,0.09262627953303687,0.1147820697038248,0.05032205190666651,0.0035292346896266366,0.10863019307595274,0.03468088373943261,0.17452886999420347,0.03250102811005925,0.09792984032488965,0.08049309756182309,0.06202356396714981,0.006650486141604427,0.013312015210267439,Technology,0.3311051533851866,0.17502915581764406,1.0,1.0,9,18,0.043749984568009014,0.0249666017381941,0.015774003254993906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,0.06419677420780336,0.12372914950181092,0.02064916270434651,0.05527952730020287,0.10500252294799942,0.13596598269611693,0.1262071359014231,0.061217600335080294,0.30775214440521664,0.019547379661089714,0.020331707486888655,0.08493340503474905,0.11417915821437229,0.05026774077826245,0.0031431166172514622,0.09218214215275547,0.053397586325679626,0.1902761910750052,0.03425808521154435,0.09611060438472023,0.07614036890736722,0.06416341276362418,0.005756590957599461,0.011793188118300579,Technology,0.30775214440521664,0.16681183871925476,1.0,1.0,9,18,0.044082836283370314,0.025852887745497658,0.013583598281922094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
