month,sector,begin_wt,covered_wt,contrib,sector_ret
2018-05,Business Services,0.04762555002665517,0.04762555002665517,-0.0026508109370333805,-0.05565942935146721
2018-05,Consumer Cyclicals,0.17865813567014638,0.17865813567014638,0.002121379386967182,0.011873959050394718
2018-05,Consumer Non-Cyclicals,0.004708131528702947,0.004708131528702947,-0.00030032129523154796,-0.06378778787309795
2018-05,Consumer Services,0.029963844979003736,0.029963844979003736,0.004482322841902905,0.1495910436408865
2018-05,Finance,0.06005500312966023,0.06005500312966023,0.005778793686032222,0.09622501681592896
2018-05,Healthcare,0.08876035525146074,0.08876035525146074,0.002453371691236328,0.02764039963884611
2018-05,Industrials,0.14292877753982705,0.14292877753982705,0.02139314068896861,0.14967693040687638
2018-05,Non-Energy Materials,0.07675131157641922,0.07675131157641922,-0.000478108770155639,-0.006229323777478368
2018-05,Technology,0.37054889029812454,0.37054889029812454,0.00037657908319134025,0.0010162736768375264
2018-06,Business Services,0.07941190079429249,0.07941190079429249,-0.0035991961374881067,-0.045323132949700015
2018-06,Consumer Cyclicals,0.17428323149054661,0.17428323149054661,-0.003548222921234643,-0.020358946129749173
2018-06,Consumer Non-Cyclicals,0.003464780737125604,0.003464780737125604,-0.00013945466002934434,-0.040249202073617076
2018-06,Consumer Services,0.06581166457474483,0.06581166457474483,0.0057315622865598955,0.08709037103977732
2018-06,Finance,0.0854324300801299,0.0854324300801299,-0.0017265444338926562,-0.02020947352513879
2018-06,Healthcare,0.12963198859888914,0.12963198859888914,0.0005278062250227335,0.004071573928067138
2018-06,Industrials,0.11967830733736062,0.11967830733736062,0.0006352379601585988,0.005307878882076176
2018-06,Non-Energy Materials,0.09480060710661589,0.09480060710661589,0.0011088898000553376,0.011697074880630706
2018-06,Technology,0.24748508928029483,0.24748508928029483,-0.025087090895176283,-0.10136809036912657
2018-07,Business Services,0.0864835342022029,0.0864835342022029,0.0022424755360352295,0.02592950850958759
2018-07,Consumer Cyclicals,0.17929946633513205,0.17929946633513205,-0.0018067047134884215,-0.010076464533985145
2018-07,Consumer Non-Cyclicals,0.002627374777808371,0.002627374777808371,0.00028555686100410966,0.1086852410307095
2018-07,Consumer Services,0.05645573018743886,0.05645573018743886,0.001236204499401489,0.021896882660044647
2018-07,Finance,0.08099409395706392,0.08099409395706392,-0.0003313511432109506,-0.00409105314995689
2018-07,Healthcare,0.12784570657961777,0.12784570657961777,0.006636007603416667,0.05190637825044204
2018-07,Industrials,0.11111284850700412,0.11111284850700412,0.0002181364161079804,0.001963197047317439
2018-07,Non-Energy Materials,0.07681054481939711,0.07681054481939711,0.00246963024375164,0.032152229222672815
2018-07,Technology,0.2783707006343349,0.2783707006343349,0.010018924999153517,0.035991305752807234
2018-08,Business Services,0.08416818020436823,0.08416818020436823,-0.0003526403335336408,-0.004189710798990747
2018-08,Consumer Cyclicals,0.16833222197613235,0.16833222197613235,-0.004522250456502934,-0.02686503156326267
2018-08,Consumer Non-Cyclicals,0.002805141671233938,0.002805141671233938,-4.251144136806107e-05,-0.015154828650547604
2018-08,Consumer Services,0.054566617628611175,0.054566617628611175,0.000677760449304423,0.012420789097051337
2018-08,Finance,0.07621151343674476,0.07621151343674476,-0.0014431328648727092,-0.018935890389717866
2018-08,Healthcare,0.12770803203461348,0.12770803203461348,0.003012467363603,0.023588707112693688
2018-08,Industrials,0.12375165098369004,0.12375165098369004,0.0025200783056584892,0.020363997454794565
2018-08,Non-Energy Materials,0.07520505274414865,0.07520505274414865,0.012495243217748482,0.16614898549779525
2018-08,Technology,0.2872515893204573,0.2872515893204573,-0.0007956193287069029,-0.0027697647577479946
2018-09,Business Services,0.0782530217382173,0.0782530217382173,-0.005385627592769658,-0.06882325401805435
2018-09,Consumer Cyclicals,0.15231624001146898,0.15231624001146898,-0.011834830058363551,-0.07769906910433465
2018-09,Consumer Non-Cyclicals,0.020553726305359458,0.020553726305359458,-0.00011352663754229672,-0.0055234090332658674
2018-09,Consumer Services,0.0512218743844208,0.0512218743844208,0.005344994883699255,0.10434984951126548
2018-09,Finance,0.08645582049663579,0.08645582049663579,0.007711874260031639,0.08920017432871077
2018-09,Healthcare,0.1292252698669697,0.1292252698669697,0.0068422822176333,0.052948484647600685
2018-09,Industrials,0.117908121984552,0.117908121984552,-0.005350411671560544,-0.04537780418775172
2018-09,Non-Energy Materials,0.04478895463839079,0.04478895463839079,0.0011989706839962073,0.026769338415603725
2018-09,Technology,0.3192769705739851,0.3192769705739851,-0.02385027377064844,-0.07470088972521646
2018-10,Business Services,0.07217566745123669,0.07217566745123669,-0.006139138863096572,-0.08505829013973852
2018-10,Consumer Cyclicals,0.1390836915971547,0.1390836915971547,-0.017816793365042726,-0.12810124005514398
2018-10,Consumer Non-Cyclicals,0.020317361636124694,0.020317361636124694,-0.002265205962818729,-0.11149114749186456
2018-10,Consumer Services,0.0562609273429531,0.0562609273429531,-0.008883335070292209,-0.15789528345563045
2018-10,Finance,0.1358871049959188,0.1358871049959188,-0.0223019557274456,-0.16412120729274063
2018-10,Healthcare,0.13502206527908472,0.13502206527908472,-0.018265277551369582,-0.13527624180252354
2018-10,Industrials,0.1110245341147323,0.1110245341147323,-0.010597297155644607,-0.09545004840725928
2018-10,Non-Energy Materials,0.045058355755141374,0.045058355755141374,-0.005499933693317917,-0.12206245880799475
2018-10,Technology,0.28517029182765385,0.28517029182765385,-0.046502663941029594,-0.16306980521356007
2018-11,Business Services,0.07021501308208435,0.07021501308208435,-0.003296911334773527,-0.0469545071638639
2018-11,Consumer Cyclicals,0.13947253156440154,0.13947253156440154,-0.01001883288932144,-0.07183373512292804
