month,ticker,fsym_id,sector,country,w_begin,ret_usd,contrib
2018-10,RKUNY,SSMH3Y-R,Consumer Non-Cyclicals,JP,0.01790667294906612,-0.11699499999999996,-0.0020949912016759898
2018-10,UCB.BR,KNHDSG-R,Healthcare,BE,0.030543218713408513,-0.06556916273095215,-0.0020026932781465456
2018-10,AF.PA,FPW2T0-R,Industrials,FR,0.028323908102265146,-0.06977976566928301,-0.0019764356702143683
2018-10,FNAC.PA,X9KJT3-R,Consumer Cyclicals,FR,0.01716102598527606,-0.0974681898355596,-0.0016726541385058582
2018-10,OCDO.L,LHPBFK-R,Industrials,GB,0.021491021341342335,-0.07582592768767749,-0.0016295766301629576
2018-10,FANUY,GB0DHY-R,Industrials,JP,0.022021914599810153,-0.07270129999999997,-0.0016010218198951771
2018-10,BCART.BR,VHJB07-R,Healthcare,BE,0.027225293869192244,-0.0519146842030862,-0.0014133925335553343
2018-10,BHP,CSSFF1-R,Non-Energy Materials,AU,0.019206640884823288,-0.07343500000000003,-0.0014104396733769988
2018-10,ETO.L,KDMMVP-R,Consumer Services,CA,0.032918448323811814,-0.03815437643996966,-0.0012559828691664043
2018-10,INRN.SW,TLX4L7-R,Industrials,CH,0.018736999688803158,-0.05327560164729972,-0.0009982249314862558
2018-10,HSBC,RWBRW0-R,Finance,GB,0.015411136227261353,-0.05455790000000005,-0.0008407992291733029
2018-10,NOD.OL,CSQ76Z-R,Technology,NO,0.002066052211150964,-0.2568948917259912,-0.0005307582590838716
2018-10,DUST.ST,JTKY01-R,Technology,SE,0.0024891706332811963,-0.1317292511845486,-0.0003278965835927006
2018-10,G5EN.ST,TSHCZT-R,Technology,SE,0.0018097675247918917,-0.1713478449811211,-0.0003100997652899083
2018-10,NAS.OL,QTFZXZ-R,Industrials,NO,0.001981650182796359,-0.1486302352861001,-0.0002945331329237661
2018-10,SCHA.OL,G4GNVN-R,Technology,NO,0.003761442852718013,-0.07269188365148282,-0.00027342636621147944
2018-10,RAY.ST,B3MGHK-R,Healthcare,SE,0.002902748089765919,-0.08986641788411653,-0.00026085957284722506
2018-10,AF-B.ST,XJLJJN-R,Industrials,SE,0.002010978015040997,-0.0773815263352442,-0.00015561254823049202
2018-10,BOOZT.ST,TY2YK8-R,Consumer Non-Cyclicals,SE,0.0022251238328777176,-0.06936513024450175,-0.0001543460044777078
2018-10,ALK-B.CO,SJKQMD-R,Healthcare,DK,0.003347432356113564,-0.04020361617064594,-0.0001345788856023907
2018-10,FAG.ST,BXLTC8-R,Industrials,SE,0.003003916250922948,-0.04176218142922683,-0.00012545009546924702
2018-10,6951.T,KGPLVQ-R,Healthcare,JP,0.0004473146228780886,-0.24533347018088902,-0.00010974124869333717
2018-10,ZAL.DE,PM6KP2-R,Consumer Cyclicals,DE,0.01639720772906489,-0.0049314494572964,-8.086200115667338e-05
2018-10,4751.T,G37DWR-R,Business Services,JP,0.00021948532867706934,-0.20612798264650678,-4.5242068020709784e-05
2018-10,6861.T,R4NT59-R,Industrials,JP,0.0001795244715749697,-0.15960580860219153,-2.8653148449604187e-05
2018-10,6857.T,KL74SJ-R,Technology,JP,0.00017362918295940537,-0.12803386011126838,-2.223041452225833e-05
2018-10,2678.T,JZY038-R,Consumer Non-Cyclicals,JP,0.00018556485418085635,-0.08551596009428197,-1.5868756665031367e-05
2018-10,6481.T,LLWRYR-R,Industrials,JP,7.868820925142728e-05,-0.13286786664332106,-1.0455134493220382e-05
2018-10,6146.T,J4TH5K-R,Technology,JP,0.0001897550288059927,-0.05265604616249153,-9.991749556373261e-06
2018-10,PNDORA.CO,C6RB2B-R,Consumer Cyclicals,DK,0.007400999270986515,0.0010596311561790195,7.84232941439552e-06
2018-10,NOK,X699Q2-R,Technology,FI,0.03909713123351596,0.007168410000000014,0.00028026426650564867
2018-10,SEDG,CQY5QT-R,Technology,IL,0.028578391401201293,0.028685199999999966,0.0008197768730217384
2018-10,MTLS,CRHQ9D-R,Business Services,BE,0.016115304988725217,0.06884059999999992,0.0011093872646068359
2018-11,FDP.L,G22X5F-R,Finance,GB,0.025424610840842937,-0.3365603235397878,-0.008556915250467296
2018-11,AMS.SW,C5K9GL-R,Technology,AT,0.019448640945736274,-0.2839705282369499,-0.005522840842851502
2018-11,ADYEN.AS,B8DGF3-R,Finance,NL,0.02579060221694064,-0.19642867030468025,-0.005066013699830588
2018-11,ACSO.L,SRS2M0-R,Consumer Services,GB,0.016542291685235293,-0.2517360442723906,-0.00416429107204119
2018-11,GWPH,D2DFTS-R,Healthcare,GB,0.034497439605493015,-0.105244,-0.003630648533840507
2018-11,ZAL.DE,PM6KP2-R,Consumer Cyclicals,DE,0.017099330833578934,-0.19555310370387102,-0.0033438272157656607
2018-11,ETO.L,KDMMVP-R,Consumer Services,CA,0.03332907310382462,-0.09538808723983805,-0.003179196532850563
2018-11,BZUN,GXXP1J-R,Business Services,CN,0.02247452112199449,-0.11404199999999998,-0.002563039337794495
2018-11,ASC.L,PP8053-R,Consumer Cyclicals,GB,0.027787795822844363,-0.08587345940374647,-0.002386234156512621
2018-11,BB,L8N0YK-R,Technology,CA,0.04641811278650235,-0.05014719999999995,-0.0023277383855272882
2018-11,SMDS.L,QCZ86Y-R,Non-Energy Materials,GB,0.016008541821820578,-0.14460091636498307,-0.0023148498171024112
2018-11,RACE,RSKRFX-R,Consumer Cyclicals,IT,0.029383919937444807,-0.067905,-0.0019953150833521894
2018-11,UMI.BR,L1YNFY-R,Non-Energy Materials,BE,0.02280652708459227,-0.07485614737332313,-0.0017072087525179247
2018-11,AM3D.DE,VJ2Q9P-R,Industrials,DE,0.009870578619002797,-0.16391422343839557,-0.0016179282292214743
2018-11,INRN.SW,TLX4L7-R,Industrials,CH,0.03238462134165519,-0.0428353077849567,-0.0013872052226690775
2018-11,AMP.MI,WJWHT6-R,Healthcare,IT,0.025257071833577904,-0.05233380311173086,-0.001321798624517309
2018-11,NOK,X699Q2-R,Technology,FI,0.04230320981515835,-0.026690400000000003,-0.0011290895912505026
2018-11,PNDORA.CO,C6RB2B-R,Consumer Cyclicals,DK,0.0077606723828618105,-0.13235702947767514,-0.00102717954334502
2018-11,OCDO.L,LHPBFK-R,Industrials,GB,0.03832923764062126,-0.022285679781926748,-0.0008541931163442589
2018-11,MTLS,CRHQ9D-R,Business Services,BE,0.01850451793515972,-0.045423699999999956,-0.0008405436713313137
2018-11,NTDOY,KRR3VZ-R,Technology,JP,0.024428472761588476,-0.03220040000000002,-0.000786606594312254
2018-11,BHP,CSSFF1-R,Non-Energy Materials,AU,0.019118491567530375,-0.039410999999999974,-0.0007534788711679391
2018-11,MONC.MI,VK44PN-R,Consumer Cyclicals,IT,0.012378549614411474,-0.05870636158500486,-0.0007266996095615625
2018-11,FNAC.PA,X9KJT3-R,Consumer Cyclicals,FR,0.016231623993800466,-0.04300158854608871,-0.0006979856164162287
2018-11,BOOZT.ST,TY2YK8-R,Consumer Non-Cyclicals,SE,0.0032469601647559954,-0.1884673900334538,-0.0006119461077941556
2018-11,G5EN.ST,TSHCZT-R,Technology,SE,0.0015676430208964001,-0.38831543749307007,-0.0006087399854923436
2018-11,FANUY,GB0DHY-R,Industrials,JP,0.021938203737772066,-0.0235031,-0.0005156157962692306
2018-11,ALK-B.CO,SJKQMD-R,Healthcare,DK,0.0033654252818261575,-0.13378484176577554,-0.000450242888803653
2018-11,STM,TZ751N-R,Technology,CH,0.013374689200456797,-0.024950699999999992,-0.0003337078578338373
2018-11,ASML,GL3H8G-R,Technology,NL,0.036327166338921614,-0.005859790000000031,-0.00021286956604115064
2018-11,RAY.ST,B3MGHK-R,Healthcare,SE,0.0027616382933382316,-0.06997887235343658,-0.00019325633361587857
2018-11,TSM,N28HXY-R,Technology,TW,0.014339433220262751,-0.013385800000000003,-0.00019194478519979317
